GEO_NAME,% of owner households spending 30% or more of its income on shelter costs,% of owner households with a mortgage,% of tenant households in subsidized housing,% of tenant households spending 30% or more of its income on shelter costs,0 Management occupations,0 to 14 years,0 to 17 years,0 to 17 years (%),0 to 4 years,0 to 5 years,0 to 5 years (%),"1 Business, finance and administration occupations",1 household maintainer,10 to 14 years,100 years and over,15 to 19 years,15 to 24 years,15 to 64 years,18 to 64 years,18 to 64 years (%),2 Natural and applied sciences and related occupations,2 household maintainers,20 to 24 years,25 to 29 years,25 to 34 years,25 to 44 years,3 Health occupations,3 or more household maintainers,30 to 34 years,35 to 39 years,35 to 44 years,"4 Occupations in education, law and social, community and government services",40 to 44 years,45 to 49 years,45 to 54 years,45 years and over,"5 Occupations in art, culture, recreation and sport",5 to 14 years,5 to 9 years,50 to 54 years,55 to 59 years,55 to 64 years,6 Sales and service occupations,60 to 64 years,65 to 69 years,65 to 74 years,65 years and over,65 years and over (%),"7 Trades, transport and equipment operators and related occupations",70 to 74 years,75 to 79 years,75 to 84 years,"8 Natural resources, agriculture and related production occupations",80 to 84 years,85 to 89 years,85 years and over,9 Occupations in manufacturing and utilities,90 to 94 years,95 to 99 years,All industry categories,All occupations,Average after-tax income in 2015 for persons aged 15 years and over not in economic families ($),Average after-tax income of households in 2015 ($),Average after-tax income of one-person households in 2015 ($),Average after-tax income of two-or-more-person households in 2015 ($),Average age of the population,Average employment income in 2015 among recipients ($),Average employment income in 2015 for full-year full-time workers ($),Average household size,Average total income in 2015 for persons aged 15 years and over not in economic families ($),Average total income of households in 2015 ($),Average total income of one-person households in 2015 ($),Average total income of two-or-more-person households in 2015 ($),Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 100% data,Employed,Employee,Employment income (%),Employment rate,In the bottom decile,In the eighth decile,In the fifth decile,In the fourth decile,In the labour force,In the ninth decile,In the second decile,In the seventh decile,In the sixth decile,In the third decile,In the top decile,Industry - NAICS2012 - not applicable,Median after-tax income in 2015 for persons aged 15 years and over not in economic families ($),Median after-tax income of households in 2015 ($),Median after-tax income of one-person households in 2015 ($),Median after-tax income of two-or-more-person households in 2015 ($),Median age of the population,Median employment income in 2015 among recipients ($),Median employment income in 2015 for full-year full-time workers ($),Median total income in 2015 for persons aged 15 years and over not in economic families ($),Median total income of households in 2015 ($),Median total income of one-person households in 2015 ($),Median total income of two-or-more-person households in 2015 ($),Multiple-census-family households,Non-census-family households,Not in the labour force,Number of after-tax income recipients aged 15 years and over in private households - 100% data,Number of after-tax income recipients aged 15 years and over in private households - 25% sample data,Number of employment income recipients aged 15 years and over in private households - 100% data,Number of employment income recipients aged 15 years and over in private households - 25% sample data,Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data,Number of government transfers recipients aged 15 years and over in private households - 100% data,Number of government transfers recipients aged 15 years and over in private households - 25% sample data,Number of market income recipients aged 15 years and over in private households - 100% data,Number of market income recipients aged 15 years and over in private households - 25% sample data,Number of persons in private households,Number of total income recipients aged 15 years and over in private households - 100% data,Number of total income recipients aged 15 years and over in private households - 25% sample data,Occupation - not applicable,One-census-family households,One-person households,Percentage with employment income,Population density per square kilometre,"Population percentage change, 2011 to 2016","Population, 2011","Population, 2016",Self-employed,"Total -  Owner and tenant households with household total income greater than zero, in non-farm, non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data",Total - Aboriginal ancestry for the population in private households - 25% sample data,Total - Aboriginal identity for the population in private households - 25% sample data,Total - Admission category and applicant type for the immigrant population in private households who landed between 1980 and 2016 - 25% sample data,Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,Total - Age at immigration for the immigrant population in private households - 25% sample data,Total - Age groups and average age of the population - 100% data,Total - Census families in private households by family size - 100% data,Total - Citizenship for the population in private households - 25% sample data,Total - Commuting destination for the employed labour force aged 15 years and over in private households with a usual place of work - 25% sample data,Total - Commuting duration for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,Total - Couple census families in private households - 100% data,Total - Distribution (%) of the population by broad age groups - 100% data,Total - Economic family income decile group for the population in private households - 100% data,Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,Total - Ethnic origin for the population in private households - 25% sample data,Total - First official language spoken for the total population excluding institutional residents - 100% data,Total - Generation status for the population in private households - 25% sample data,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data",Total - Household after-tax income groups in 2015 for private households - 100% data,Total - Household total income groups in 2015 for private households - 100% data,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Total - Income statistics in 2015 for couple economic families with children in private households - 100% data,Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data,Total - Income statistics in 2015 for economic families in private households - 100% data,Total - Income statistics in 2015 for economic families in private households - 25% sample data,Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data,Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data,Total - Income statistics in 2015 for one-person private households - 100% data,Total - Income statistics in 2015 for one-person private households - 25% sample data,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,Total - Income statistics in 2015 for private households by household size - 100% data,Total - Income statistics in 2015 for private households by household size - 25% sample data,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,Total - Income statistics in 2015 for two-or-more-person private households - 100% data,Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data,Total - Knowledge of languages for the population in private households - 25% sample data,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,Total - Language spoken most often at home for the total population excluding institutional residents - 100% data,"Total - Language used most often at work for the population in private households aged 15 years and over who worked since January 1, 2015 - 25% sample data",Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 15 years and over in private households - 25% sample data,Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 25 to 64 years in private households - 25% sample data,Total - Lone-parent census families in private households - 100% data,Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,Total - Main mode of commuting for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 15 years and over in private households - 25% sample data,Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 25 to 64 years in private households - 25% sample data,Total - Marital status for the population aged 15 years and over - 100% data,Total - Mobility status 5 years ago - 25% sample data,Total - Mother tongue for the total population excluding institutional residents - 100% data,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data,"Total - Other language(s) used regularly at work for the population in private households aged 15 years and over who worked since January 1, 2015 - 25% Sample Data","Total - Owner households in non-farm, non-reserve private dwellings - 25% sample data",Total - Persons not in census families in private households - 100% data,Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,Total - Population aged 15 years and over by Labour force status - 25% sample data,Total - Population by Registered or Treaty Indian status for the population in private households - 25% sample data,Total - Private households by age of primary household maintainers - 25% sample data,Total - Private households by household size - 100% data,Total - Private households by household type - 100% data,Total - Private households by housing suitability - 25% sample data,Total - Private households by number of household maintainers - 25% sample data,Total - Private households by number of persons per room - 25% sample data,Total - Private households by tenure - 25% sample data,Total - Selected places of birth for the immigrant population in private households - 25% sample data,Total - Selected places of birth for the recent immigrant population in private households - 25% sample data,"Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data",Total - Time leaving for work for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,Total - Visible minority for the population in private households - 25% sample data,Total Labour Force population aged 15 years and over by Industry - North American Industry Classification System (NAICS) 2012 - 25% sample data,Total labour force aged 15 years and over by class of worker - 25% sample data,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2016 - 25% sample data,Total number of census families in private households - 100% data,Total population aged 15 years and over by work activity during the reference year - 25% sample data,Total visible minority population,Two-or-more person non-census-family households,Under 5 years,Unemployed,Unemployment rate,With employment income,Without employment income
105 Mile Post 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,-52.4,21.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbotsford,18.8,65.6,8.7,38.5,7530.0,25995.0,31200.0,15.7,8480.0,10250.0,15.4,9805.0,26860.0,8565.0,40.0,8930.0,11220.0,91555.0,85105.0,11.5,2670.0,19755.0,9330.0,9335.0,6890.0,12575.0,4620.0,2425.0,9775.0,9065.0,8525.0,7345.0,8760.0,9135.0,10040.0,6510.0,1470.0,5220.0,8950.0,9365.0,9375.0,9370.0,16125.0,8485.0,7630.0,6895.0,23845.0,14.0,14565.0,5575.0,4150.0,4035.0,4240.0,3075.0,2085.0,3425.0,4250.0,1020.0,285.0,72620.0,72620.0,32545.0,75715.0,35373.0,88341.0,39.9,37890.0,57017.0,2.8,37596.0,88362.0,40971.0,103195.0,100.0,68865.0,62840.0,72.3,61.2,12160.0,13430.0,16025.0,17045.0,73750.0,11995.0,13850.0,14295.0,15280.0,14885.0,9580.0,1130.0,27096.0,64112.0,29753.0,77391.0,39.0,28555.0,49454.0,29538.0,72511.0,32863.0,87866.0,3300.0,13455.0,38865.0,108280.0,108170.0,82445.0,82445.0,33705.0,77925.0,77685.0,95740.0,95565.0,138555.0,108160.0,108070.0,1130.0,32285.0,11700.0,73.2,376.5,5.9,133497.0,141397.0,9780.0,47920.0,138555.0,138555.0,29480.0,112615.0,38225.0,141395.0,39295.0,138555.0,50850.0,63190.0,33670.0,100.0,138555.0,112610.0,112615.0,138555.0,139255.0,138555.0,112615.0,72315.0,49040.0,49040.0,138555.0,17895.0,17875.0,12400.0,12400.0,36270.0,36280.0,4790.0,4785.0,11700.0,11690.0,16650.0,16595.0,49040.0,49040.0,112615.0,112615.0,37340.0,37350.0,138555.0,139255.0,139250.0,79730.0,112615.0,72315.0,5625.0,138555.0,63190.0,112615.0,72315.0,115405.0,130105.0,139255.0,139255.0,79735.0,33325.0,20800.0,68865.0,112615.0,138555.0,49040.0,49040.0,49040.0,49040.0,49040.0,49040.0,49040.0,38220.0,5435.0,14645.0,63190.0,112615.0,138555.0,73750.0,73750.0,73750.0,39295.0,112615.0,46635.0,1750.0,2700.0,4885.0,6.6,82445.0,30175.0
Agats Meadow 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahahswinis 1,,0.0,0.0,,10.0,25.0,,,0.0,,,0.0,45.0,10.0,0.0,10.0,0.0,75.0,,,0.0,10.0,5.0,5.0,10.0,0.0,10.0,0.0,5.0,0.0,10.0,10.0,15.0,10.0,10.0,0.0,0.0,0.0,10.0,5.0,0.0,15.0,0.0,10.0,10.0,15.0,25.0,,0.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,,,,,41.1,,,2.1,,,,,,45.0,45.0,,45.0,,,,,50.0,,,,,,,0.0,,25664.0,,,42.8,,,,25728.0,,,0.0,25.0,45.0,,,,,,,,,,120.0,,,0.0,35.0,20.0,,291.7,-25.6,160.0,119.0,0.0,,120.0,120.0,0.0,,0.0,120.0,35.0,0.0,15.0,40.0,20.0,100.0,,,,120.0,120.0,120.0,100.0,60.0,,,0.0,,,,,,,,,,,,,55.0,,95.0,100.0,,,120.0,120.0,120.0,60.0,100.0,60.0,15.0,,40.0,95.0,55.0,95.0,115.0,120.0,120.0,65.0,0.0,25.0,45.0,100.0,120.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,0.0,0.0,0.0,40.0,,120.0,50.0,50.0,50.0,35.0,100.0,0.0,5.0,0.0,10.0,20.0,,
Ahaminaquus 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aitchelitch 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.3,-16.7,18.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberni 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3,0.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberni-Clayoquot A,,38.1,0.0,,0.0,5.0,,,0.0,,,20.0,100.0,0.0,0.0,5.0,0.0,165.0,,,0.0,45.0,20.0,15.0,0.0,15.0,10.0,0.0,5.0,15.0,15.0,10.0,5.0,15.0,15.0,20.0,0.0,0.0,5.0,30.0,30.0,45.0,35.0,30.0,40.0,45.0,75.0,,30.0,15.0,15.0,10.0,10.0,0.0,0.0,5.0,10.0,0.0,0.0,120.0,115.0,,,,,52.7,,,1.6,,,,,,110.0,80.0,,50.0,,,,,115.0,,,,,,,0.0,,40832.0,,,56.8,,,,46336.0,,,0.0,80.0,105.0,,,,,,,,,,215.0,,,0.0,50.0,70.0,,0.1,26.6,192.0,243.0,35.0,,235.0,235.0,25.0,,50.0,240.0,55.0,235.0,60.0,95.0,50.0,100.0,,,,240.0,240.0,235.0,215.0,125.0,,,235.0,,,,,,,,,,,,,135.0,,205.0,220.0,,,235.0,245.0,245.0,145.0,220.0,125.0,0.0,,95.0,215.0,130.0,235.0,235.0,245.0,240.0,150.0,105.0,90.0,115.0,220.0,240.0,145.0,135.0,135.0,145.0,145.0,145.0,145.0,45.0,0.0,40.0,95.0,,235.0,115.0,115.0,115.0,55.0,220.0,10.0,5.0,0.0,0.0,0.0,,
Alberni-Clayoquot B,20.7,44.8,0.0,0.0,40.0,45.0,60.0,16.7,10.0,15.0,0.0,20.0,125.0,20.0,0.0,20.0,10.0,295.0,285.0,15.8,10.0,75.0,10.0,20.0,20.0,0.0,10.0,0.0,15.0,20.0,20.0,15.0,25.0,35.0,15.0,10.0,0.0,10.0,15.0,45.0,55.0,55.0,30.0,45.0,20.0,30.0,100.0,0.0,40.0,25.0,15.0,35.0,25.0,20.0,5.0,10.0,20.0,5.0,0.0,205.0,205.0,27866.0,55683.0,35499.0,61508.0,48.9,29302.0,39668.0,2.2,31646.0,62949.0,40233.0,69504.0,100.0,185.0,175.0,66.5,48.1,40.0,35.0,30.0,60.0,205.0,70.0,35.0,30.0,60.0,55.0,35.0,0.0,27136.0,63872.0,27520.0,68736.0,53.7,28736.0,37078.0,28672.0,71424.0,29184.0,79104.0,5.0,45.0,175.0,385.0,370.0,275.0,250.0,100.0,270.0,270.0,340.0,335.0,445.0,385.0,370.0,0.0,150.0,45.0,70.0,4.8,-2.9,456.0,443.0,35.0,170.0,420.0,425.0,15.0,395.0,35.0,445.0,155.0,425.0,120.0,150.0,130.0,100.0,445.0,400.0,385.0,425.0,445.0,425.0,380.0,220.0,200.0,200.0,420.0,40.0,35.0,90.0,90.0,155.0,140.0,20.0,0.0,45.0,45.0,55.0,75.0,200.0,195.0,395.0,385.0,155.0,150.0,420.0,445.0,445.0,220.0,380.0,220.0,20.0,440.0,150.0,385.0,220.0,395.0,410.0,440.0,440.0,220.0,145.0,65.0,185.0,385.0,420.0,195.0,195.0,200.0,195.0,195.0,195.0,200.0,35.0,0.0,25.0,150.0,400.0,425.0,205.0,200.0,200.0,155.0,380.0,10.0,5.0,0.0,20.0,9.8,280.0,120.0
Alberni-Clayoquot C,32.3,64.5,0.0,31.6,30.0,130.0,155.0,35.5,40.0,50.0,40.0,25.0,140.0,40.0,0.0,45.0,0.0,470.0,425.0,28.2,10.0,100.0,30.0,45.0,50.0,25.0,0.0,10.0,65.0,40.0,55.0,20.0,45.0,40.0,50.0,0.0,25.0,10.0,50.0,35.0,60.0,45.0,125.0,65.0,50.0,35.0,80.0,14.3,45.0,15.0,5.0,10.0,35.0,5.0,0.0,0.0,0.0,0.0,0.0,325.0,325.0,27626.0,49453.0,28872.0,59126.0,38.7,23205.0,33959.0,2.4,30747.0,54953.0,32473.0,65519.0,100.0,285.0,265.0,67.0,61.3,155.0,25.0,70.0,45.0,320.0,25.0,105.0,30.0,60.0,110.0,10.0,0.0,23456.0,46208.0,23168.0,56704.0,38.9,18064.0,33082.0,25280.0,49984.0,25536.0,63360.0,10.0,90.0,140.0,495.0,450.0,380.0,360.0,135.0,410.0,385.0,440.0,400.0,645.0,495.0,445.0,0.0,165.0,75.0,73.8,0.2,56.4,433.0,677.0,60.0,250.0,620.0,615.0,40.0,515.0,55.0,675.0,185.0,620.0,200.0,245.0,145.0,100.0,645.0,515.0,465.0,620.0,680.0,615.0,465.0,355.0,265.0,265.0,620.0,60.0,60.0,85.0,75.0,180.0,160.0,30.0,25.0,80.0,80.0,115.0,115.0,265.0,255.0,515.0,465.0,185.0,170.0,615.0,675.0,680.0,365.0,465.0,360.0,40.0,645.0,245.0,465.0,360.0,545.0,575.0,680.0,680.0,360.0,155.0,140.0,290.0,465.0,615.0,250.0,265.0,270.0,250.0,250.0,250.0,250.0,55.0,0.0,95.0,245.0,515.0,620.0,325.0,325.0,320.0,185.0,465.0,15.0,10.0,15.0,35.0,10.9,380.0,130.0
