GEO_NAME,% of owner households spending 30% or more of its income on shelter costs,% of owner households with a mortgage,% of tenant households in subsidized housing,% of tenant households spending 30% or more of its income on shelter costs,0 Management occupations,0 to 14 years,0 to 17 years,0 to 17 years (%),0 to 4 years,0 to 5 years,0 to 5 years (%),"1 Business, finance and administration occupations",1 household maintainer,10 to 14 years,100 years and over,15 to 19 years,15 to 24 years,15 to 64 years,18 to 64 years,18 to 64 years (%),2 Natural and applied sciences and related occupations,2 household maintainers,20 to 24 years,25 to 29 years,25 to 34 years,25 to 44 years,3 Health occupations,3 or more household maintainers,30 to 34 years,35 to 39 years,35 to 44 years,"4 Occupations in education, law and social, community and government services",40 to 44 years,45 to 49 years,45 to 54 years,45 years and over,"5 Occupations in art, culture, recreation and sport",5 to 14 years,5 to 9 years,50 to 54 years,55 to 59 years,55 to 64 years,6 Sales and service occupations,60 to 64 years,65 to 69 years,65 to 74 years,65 years and over,65 years and over (%),"7 Trades, transport and equipment operators and related occupations",70 to 74 years,75 to 79 years,75 to 84 years,"8 Natural resources, agriculture and related production occupations",80 to 84 years,85 to 89 years,85 years and over,9 Occupations in manufacturing and utilities,90 to 94 years,95 to 99 years,All industry categories,All occupations,Average after-tax income in 2015 for persons aged 15 years and over not in economic families ($),Average after-tax income of households in 2015 ($),Average after-tax income of one-person households in 2015 ($),Average after-tax income of two-or-more-person households in 2015 ($),Average age of the population,Average employment income in 2015 among recipients ($),Average employment income in 2015 for full-year full-time workers ($),Average household size,Average total income in 2015 for persons aged 15 years and over not in economic families ($),Average total income of households in 2015 ($),Average total income of one-person households in 2015 ($),Average total income of two-or-more-person households in 2015 ($),Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 100% data,Employed,Employee,Employment income (%),Employment rate,In the bottom decile,In the eighth decile,In the fifth decile,In the fourth decile,In the labour force,In the ninth decile,In the second decile,In the seventh decile,In the sixth decile,In the third decile,In the top decile,Industry - NAICS2012 - not applicable,Median after-tax income in 2015 for persons aged 15 years and over not in economic families ($),Median after-tax income of households in 2015 ($),Median after-tax income of one-person households in 2015 ($),Median after-tax income of two-or-more-person households in 2015 ($),Median age of the population,Median employment income in 2015 among recipients ($),Median employment income in 2015 for full-year full-time workers ($),Median total income in 2015 for persons aged 15 years and over not in economic families ($),Median total income of households in 2015 ($),Median total income of one-person households in 2015 ($),Median total income of two-or-more-person households in 2015 ($),Multiple-census-family households,Non-census-family households,Not in the labour force,Number of after-tax income recipients aged 15 years and over in private households - 100% data,Number of after-tax income recipients aged 15 years and over in private households - 25% sample data,Number of employment income recipients aged 15 years and over in private households - 100% data,Number of employment income recipients aged 15 years and over in private households - 25% sample data,Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data,Number of government transfers recipients aged 15 years and over in private households - 100% data,Number of government transfers recipients aged 15 years and over in private households - 25% sample data,Number of market income recipients aged 15 years and over in private households - 100% data,Number of market income recipients aged 15 years and over in private households - 25% sample data,Number of persons in private households,Number of total income recipients aged 15 years and over in private households - 100% data,Number of total income recipients aged 15 years and over in private households - 25% sample data,Occupation - not applicable,One-census-family households,One-person households,Percentage with employment income,Population density per square kilometre,"Population percentage change, 2011 to 2016","Population, 2011","Population, 2016",Self-employed,"Total -  Owner and tenant households with household total income greater than zero, in non-farm, non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data",Total - Aboriginal ancestry for the population in private households - 25% sample data,Total - Aboriginal identity for the population in private households - 25% sample data,Total - Admission category and applicant type for the immigrant population in private households who landed between 1980 and 2016 - 25% sample data,Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,Total - Age at immigration for the immigrant population in private households - 25% sample data,Total - Age groups and average age of the population - 100% data,Total - Census families in private households by family size - 100% data,Total - Citizenship for the population in private households - 25% sample data,Total - Commuting destination for the employed labour force aged 15 years and over in private households with a usual place of work - 25% sample data,Total - Commuting duration for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,Total - Couple census families in private households - 100% data,Total - Distribution (%) of the population by broad age groups - 100% data,Total - Economic family income decile group for the population in private households - 100% data,Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,Total - Ethnic origin for the population in private households - 25% sample data,Total - First official language spoken for the total population excluding institutional residents - 100% data,Total - Generation status for the population in private households - 25% sample data,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data",Total - Household after-tax income groups in 2015 for private households - 100% data,Total - Household total income groups in 2015 for private households - 100% data,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Total - Income statistics in 2015 for couple economic families with children in private households - 100% data,Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data,Total - Income statistics in 2015 for economic families in private households - 100% data,Total - Income statistics in 2015 for economic families in private households - 25% sample data,Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data,Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data,Total - Income statistics in 2015 for one-person private households - 100% data,Total - Income statistics in 2015 for one-person private households - 25% sample data,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,Total - Income statistics in 2015 for private households by household size - 100% data,Total - Income statistics in 2015 for private households by household size - 25% sample data,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,Total - Income statistics in 2015 for two-or-more-person private households - 100% data,Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data,Total - Knowledge of languages for the population in private households - 25% sample data,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,Total - Language spoken most often at home for the total population excluding institutional residents - 100% data,"Total - Language used most often at work for the population in private households aged 15 years and over who worked since January 1, 2015 - 25% sample data",Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 15 years and over in private households - 25% sample data,Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 25 to 64 years in private households - 25% sample data,Total - Lone-parent census families in private households - 100% data,Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,Total - Main mode of commuting for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 15 years and over in private households - 25% sample data,Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 25 to 64 years in private households - 25% sample data,Total - Marital status for the population aged 15 years and over - 100% data,Total - Mobility status 5 years ago - 25% sample data,Total - Mother tongue for the total population excluding institutional residents - 100% data,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data,"Total - Other language(s) used regularly at work for the population in private households aged 15 years and over who worked since January 1, 2015 - 25% Sample Data","Total - Owner households in non-farm, non-reserve private dwellings - 25% sample data",Total - Persons not in census families in private households - 100% data,Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,Total - Population aged 15 years and over by Labour force status - 25% sample data,Total - Population by Registered or Treaty Indian status for the population in private households - 25% sample data,Total - Private households by age of primary household maintainers - 25% sample data,Total - Private households by household size - 100% data,Total - Private households by household type - 100% data,Total - Private households by housing suitability - 25% sample data,Total - Private households by number of household maintainers - 25% sample data,Total - Private households by number of persons per room - 25% sample data,Total - Private households by tenure - 25% sample data,Total - Selected places of birth for the immigrant population in private households - 25% sample data,Total - Selected places of birth for the recent immigrant population in private households - 25% sample data,"Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data",Total - Time leaving for work for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,Total - Visible minority for the population in private households - 25% sample data,Total Labour Force population aged 15 years and over by Industry - North American Industry Classification System (NAICS) 2012 - 25% sample data,Total labour force aged 15 years and over by class of worker - 25% sample data,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2016 - 25% sample data,Total number of census families in private households - 100% data,Total population aged 15 years and over by work activity during the reference year - 25% sample data,Total visible minority population,Two-or-more person non-census-family households,Under 5 years,Unemployed,Unemployment rate,With employment income,Without employment income
Alexander,13.5,45.5,28.6,28.6,205.0,380.0,470.0,19.1,120.0,145.0,20.7,190.0,930.0,135.0,0.0,135.0,80.0,1990.0,1890.0,13.8,30.0,670.0,90.0,85.0,80.0,90.0,85.0,0.0,115.0,100.0,100.0,170.0,145.0,190.0,290.0,0.0,30.0,20.0,120.0,295.0,400.0,465.0,315.0,440.0,390.0,435.0,965.0,9.3,310.0,285.0,185.0,170.0,90.0,70.0,30.0,40.0,30.0,10.0,5.0,1460.0,1460.0,35385.0,60818.0,35630.0,71341.0,50.5,37287.0,61381.0,2.1,41833.0,72829.0,42133.0,85653.0,100.0,1335.0,1230.0,58.2,45.6,305.0,320.0,405.0,430.0,1485.0,265.0,280.0,360.0,370.0,400.0,200.0,25.0,33749.0,55168.0,34048.0,65682.0,56.6,29952.0,53564.0,38016.0,62720.0,39040.0,74752.0,20.0,510.0,1440.0,2870.0,2840.0,1800.0,1785.0,685.0,2175.0,2190.0,2625.0,2585.0,3325.0,2870.0,2845.0,25.0,1075.0,480.0,61.0,2.1,11.7,2983.0,3333,235.0,1580.0,3325.0,3330.0,50.0,2950.0,215.0,3330.0,1115.0,3330.0,960.0,1145.0,1010.0,100.0,3330.0,2950.0,2925.0,3330.0,3330.0,3325.0,2925.0,1680.0,1605.0,1605.0,3330.0,250.0,210.0,740.0,770.0,1105.0,1110.0,95.0,110.0,480.0,470.0,525.0,530.0,1600.0,1600.0,2950.0,2930.0,1120.0,1130.0,3330.0,3330.0,3335.0,1710.0,2930.0,1680.0,105.0,3330.0,1145.0,2930.0,1680.0,2955.0,3220.0,3335.0,3335.0,1710.0,1440.0,600.0,1335.0,2930.0,3330.0,1600.0,1605.0,1600.0,1605.0,1605.0,1600.0,1605.0,220.0,0.0,140.0,1150.0,2950.0,3330.0,1485.0,1485.0,1485.0,1115.0,2930.0,40.0,25.0,20.0,150.0,10.1,1800.0,1150.0
Alonsa,11.3,31.7,40.9,23.8,180.0,250.0,310.0,51.6,80.0,95.0,68.4,40.0,370.0,85.0,0.0,100.0,10.0,725.0,650.0,32.3,10.0,135.0,55.0,40.0,40.0,10.0,25.0,10.0,40.0,45.0,65.0,50.0,80.0,75.0,95.0,0.0,10.0,0.0,85.0,90.0,105.0,110.0,65.0,85.0,100.0,90.0,270.0,40.7,85.0,70.0,50.0,70.0,85.0,30.0,10.0,15.0,0.0,5.0,0.0,540.0,535.0,23213.0,48070.0,21154.0,59294.0,41.9,30363.0,44755.0,2.5,25634.0,54681.0,23077.0,67859.0,100.0,510.0,345.0,60.6,51.8,285.0,50.0,100.0,130.0,545.0,55.0,300.0,85.0,65.0,130.0,25.0,10.0,20224.0,38144.0,20224.0,48725.0,45.5,21888.0,33114.0,20480.0,41344.0,20480.0,51840.0,15.0,150.0,445.0,915.0,930.0,605.0,595.0,270.0,785.0,810.0,715.0,720.0,1230.0,915.0,930.0,10.0,330.0,130.0,61.4,0.4,-1.8,1270.0,1247,195.0,415.0,1230.0,1230.0,10.0,985.0,30.0,1250.0,360.0,1230.0,225.0,285.0,275.0,100.0,1230.0,985.0,985.0,1230.0,1230.0,1225.0,990.0,550.0,495.0,495.0,1230.0,120.0,115.0,150.0,150.0,355.0,340.0,65.0,55.0,130.0,150.0,165.0,225.0,495.0,510.0,985.0,985.0,365.0,360.0,1230.0,1230.0,1230.0,610.0,985.0,555.0,80.0,1230.0,280.0,985.0,555.0,995.0,1160.0,1230.0,1230.0,605.0,310.0,230.0,510.0,985.0,1230.0,515.0,495.0,495.0,515.0,510.0,510.0,515.0,35.0,10.0,110.0,280.0,985.0,1230.0,545.0,550.0,545.0,360.0,985.0,0.0,20.0,15.0,35.0,6.4,605.0,380.0
Altona,10.3,60.9,12.6,44.7,195.0,815.0,975.0,25.6,305.0,375.0,32.0,310.0,1065.0,255.0,5.0,265.0,80.0,2510.0,2315.0,13.6,70.0,565.0,270.0,260.0,260.0,175.0,140.0,15.0,225.0,225.0,255.0,260.0,250.0,245.0,295.0,45.0,40.0,175.0,260.0,270.0,245.0,260.0,360.0,250.0,200.0,255.0,890.0,18.2,340.0,185.0,155.0,155.0,75.0,125.0,120.0,220.0,185.0,70.0,30.0,1980.0,1980.0,35177.0,61261.0,34336.0,72396.0,41.6,35836.0,50813.0,2.4,40047.0,71384.0,38837.0,84844.0,100.0,1925.0,1755.0,71.4,61.4,335.0,310.0,455.0,570.0,2005.0,220.0,675.0,315.0,400.0,545.0,150.0,20.0,28288.0,52864.0,27872.0,65082.0,40.8,32192.0,45961.0,31334.0,59341.0,30272.0,73941.0,5.0,515.0,1130.0,3050.0,3015.0,2295.0,2245.0,1095.0,2185.0,2220.0,2820.0,2775.0,3980.0,3050.0,3015.0,20.0,1115.0,475.0,72.5,449.1,3.0,4088.0,4212,225.0,1635.0,3980.0,3980.0,475.0,3165.0,600.0,4215.0,1135.0,3980.0,1585.0,1790.0,1025.0,100.0,3980.0,3165.0,3130.0,3975.0,4115.0,3980.0,3130.0,1910.0,1645.0,1640.0,3975.0,475.0,480.0,535.0,540.0,1140.0,1125.0,105.0,100.0,475.0,480.0,555.0,570.0,1640.0,1645.0,3165.0,3130.0,1165.0,1160.0,3975.0,4115.0,4115.0,2220.0,3130.0,1910.0,105.0,3980.0,1790.0,3130.0,1910.0,3400.0,3615.0,4115.0,4115.0,2215.0,1165.0,610.0,1920.0,3135.0,3980.0,1640.0,1640.0,1640.0,1640.0,1645.0,1640.0,1640.0,600.0,165.0,475.0,1790.0,3165.0,3980.0,2000.0,2000.0,2000.0,1135.0,3130.0,230.0,40.0,120.0,80.0,4.0,2295.0,870.0
Arborg,7.2,58.0,25.8,23.3,80.0,240.0,280.0,26.8,90.0,105.0,23.8,55.0,330.0,75.0,0.0,55.0,35.0,685.0,635.0,15.7,15.0,165.0,65.0,95.0,100.0,25.0,55.0,10.0,70.0,70.0,85.0,85.0,75.0,55.0,60.0,10.0,10.0,30.0,80.0,60.0,65.0,80.0,130.0,70.0,65.0,45.0,305.0,25.5,90.0,60.0,50.0,70.0,35.0,50.0,50.0,85.0,35.0,25.0,10.0,595.0,595.0,32894.0,60074.0,34088.0,71104.0,43.0,41419.0,49788.0,2.3,39239.0,71379.0,40735.0,84386.0,100.0,585.0,530.0,71.5,64.6,135.0,100.0,135.0,150.0,605.0,60.0,190.0,100.0,100.0,150.0,30.0,10.0,24640.0,47189.0,23776.0,58944.0,41.0,30400.0,42255.0,25792.0,54016.0,25280.0,66304.0,5.0,170.0,300.0,880.0,875.0,640.0,645.0,355.0,670.0,635.0,790.0,810.0,1150.0,880.0,880.0,10.0,330.0,150.0,70.7,556.3,6.9,1152.0,1232,75.0,495.0,1150.0,1150.0,85.0,905.0,105.0,1235.0,335.0,1145.0,460.0,535.0,280.0,100.0,1150.0,905.0,900.0,1145.0,1180.0,1150.0,905.0,575.0,500.0,500.0,1145.0,130.0,125.0,150.0,150.0,335.0,335.0,45.0,55.0,150.0,150.0,185.0,195.0,500.0,495.0,905.0,905.0,345.0,350.0,1150.0,1180.0,1185.0,660.0,905.0,575.0,50.0,1150.0,535.0,905.0,575.0,990.0,1030.0,1180.0,1185.0,655.0,345.0,210.0,585.0,905.0,1150.0,495.0,500.0,495.0,495.0,495.0,500.0,500.0,100.0,45.0,155.0,535.0,905.0,1145.0,605.0,605.0,605.0,335.0,905.0,60.0,15.0,10.0,20.0,3.3,640.0,265.0
Argyle,10.4,27.1,0.0,0.0,165.0,160.0,150.0,16.7,45.0,35.0,28.6,40.0,270.0,70.0,0.0,65.0,0.0,615.0,520.0,17.3,10.0,135.0,55.0,30.0,30.0,0.0,50.0,0.0,40.0,35.0,30.0,40.0,60.0,80.0,90.0,0.0,10.0,10.0,45.0,85.0,70.0,100.0,70.0,95.0,85.0,85.0,250.0,23.3,80.0,60.0,40.0,40.0,50.0,30.0,25.0,30.0,0.0,5.0,5.0,515.0,510.0,32158.0,58956.0,32082.0,69738.0,45.2,32269.0,40839.0,2.2,41623.0,71181.0,42114.0,82843.0,100.0,490.0,325.0,66.9,61.2,95.0,70.0,135.0,90.0,515.0,70.0,145.0,65.0,105.0,75.0,30.0,0.0,30208.0,46592.0,28352.0,65408.0,48.9,27072.0,36193.0,31872.0,54016.0,30784.0,75648.0,0.0,140.0,285.0,750.0,790.0,585.0,595.0,300.0,545.0,585.0,710.0,755.0,885.0,750.0,790.0,0.0,265.0,135.0,76.5,1.3,-4.3,1071.0,1025,190.0,285.0,945.0,945.0,0.0,765.0,15.0,1025.0,265.0,940.0,270.0,305.0,250.0,100.0,880.0,765.0,805.0,945.0,995.0,940.0,800.0,465.0,410.0,405.0,940.0,95.0,100.0,150.0,170.0,270.0,285.0,15.0,0.0,130.0,115.0,140.0,125.0,405.0,405.0,765.0,800.0,275.0,290.0,945.0,995.0,995.0,575.0,800.0,465.0,15.0,885.0,305.0,800.0,465.0,865.0,880.0,995.0,995.0,575.0,240.0,150.0,490.0,800.0,945.0,410.0,405.0,410.0,405.0,410.0,405.0,405.0,15.0,0.0,45.0,300.0,765.0,940.0,515.0,515.0,520.0,265.0,800.0,0.0,10.0,0.0,30.0,5.8,585.0,180.0
Armstrong,11.3,50.9,0.0,0.0,185.0,295.0,370.0,27.0,100.0,115.0,26.1,75.0,460.0,105.0,0.0,120.0,25.0,1150.0,1070.0,18.7,30.0,295.0,85.0,90.0,45.0,45.0,50.0,0.0,65.0,85.0,95.0,85.0,105.0,120.0,170.0,15.0,10.0,25.0,85.0,165.0,150.0,170.0,205.0,165.0,105.0,150.0,350.0,30.0,230.0,125.0,65.0,90.0,75.0,25.0,15.0,25.0,25.0,5.0,5.0,975.0,975.0,29303.0,59245.0,28645.0,69005.0,43.4,34936.0,45128.0,2.4,34005.0,69803.0,33012.0,81538.0,100.0,890.0,725.0,69.7,57.4,215.0,120.0,230.0,210.0,975.0,70.0,325.0,120.0,160.0,290.0,55.0,0.0,23424.0,49152.0,23616.0,56448.0,47.1,25203.0,40107.0,24576.0,54144.0,25152.0,63360.0,5.0,215.0,575.0,1430.0,1465.0,1060.0,1085.0,535.0,1130.0,1135.0,1275.0,1300.0,1795.0,1430.0,1470.0,0.0,530.0,190.0,70.7,1.0,-2.3,1835.0,1792,250.0,600.0,1790.0,1790.0,65.0,1500.0,110.0,1790.0,545.0,1790.0,590.0,695.0,485.0,100.0,1790.0,1500.0,1550.0,1790.0,1790.0,1790.0,1555.0,950.0,750.0,750.0,1790.0,200.0,200.0,270.0,285.0,545.0,550.0,55.0,65.0,195.0,185.0,230.0,235.0,750.0,750.0,1500.0,1550.0,560.0,570.0,1795.0,1790.0,1790.0,1080.0,1550.0,950.0,60.0,1795.0,695.0,1550.0,950.0,1500.0,1705.0,1790.0,1795.0,1080.0,580.0,265.0,890.0,1550.0,1795.0,750.0,750.0,755.0,755.0,755.0,750.0,750.0,115.0,0.0,25.0,695.0,1500.0,1795.0,975.0,975.0,980.0,545.0,1550.0,40.0,20.0,10.0,90.0,9.2,1060.0,440.0
Beausejour,14.0,58.8,19.7,31.7,105.0,475.0,600.0,20.8,155.0,200.0,22.5,215.0,895.0,150.0,5.0,210.0,35.0,1895.0,1750.0,12.6,85.0,535.0,155.0,170.0,160.0,65.0,160.0,15.0,190.0,160.0,180.0,250.0,190.0,180.0,250.0,0.0,10.0,35.0,175.0,200.0,215.0,250.0,345.0,215.0,210.0,260.0,850.0,18.3,360.0,180.0,135.0,195.0,40.0,155.0,100.0,165.0,60.0,55.0,5.0,1625.0,1630.0,32481.0,61330.0,33431.0,76116.0,45.6,40758.0,59087.0,2.2,38209.0,73018.0,39288.0,90893.0,100.0,1525.0,1475.0,68.2,56.7,255.0,320.0,365.0,330.0,1635.0,295.0,385.0,355.0,360.0,375.0,75.0,0.0,27136.0,52128.0,27744.0,68960.0,46.6,35488.0,54151.0,28928.0,59776.0,29888.0,80640.0,5.0,540.0,1055.0,2555.0,2585.0,1755.0,1840.0,930.0,1920.0,1930.0,2355.0,2405.0,3120.0,2555.0,2585.0,10.0,900.0,500.0,66.5,593.8,3.0,3126.0,3219,155.0,1445.0,3115.0,3115.0,70.0,2640.0,155.0,3220.0,910.0,3115.0,1230.0,1435.0,755.0,100.0,3115.0,2640.0,2690.0,3115.0,3135.0,3115.0,2690.0,1530.0,1445.0,1445.0,3115.0,330.0,335.0,425.0,435.0,920.0,925.0,145.0,145.0,500.0,500.0,575.0,565.0,1440.0,1440.0,2640.0,2690.0,945.0,940.0,3115.0,3130.0,3130.0,1810.0,2690.0,1530.0,150.0,3115.0,1435.0,2690.0,1530.0,2740.0,2980.0,3135.0,3130.0,1805.0,1140.0,640.0,1525.0,2690.0,3115.0,1445.0,1445.0,1440.0,1445.0,1445.0,1445.0,1445.0,155.0,20.0,300.0,1435.0,2640.0,3120.0,1635.0,1635.0,1635.0,910.0,2690.0,95.0,40.0,15.0,110.0,6.7,1755.0,890.0
Berens River 13,0.0,0.0,0.0,0.0,10.0,395.0,0.0,,155.0,0.0,,20.0,195.0,110.0,0.0,105.0,0.0,695.0,0.0,,0.0,55.0,110.0,90.0,45.0,0.0,15.0,10.0,65.0,65.0,60.0,80.0,70.0,70.0,65.0,0.0,0.0,0.0,130.0,50.0,45.0,50.0,80.0,30.0,20.0,15.0,35.0,,85.0,10.0,5.0,10.0,25.0,5.0,0.0,0.0,10.0,5.0,0.0,330.0,330.0,18046.0,50547.0,21208.0,54088.0,26.5,19481.0,36196.0,4.3,19431.0,53035.0,23003.0,56660.0,100.0,265.0,300.0,70.8,36.3,460.0,50.0,75.0,80.0,355.0,30.0,240.0,30.0,50.0,95.0,5.0,25.0,12992.0,41088.0,15168.0,44544.0,22.7,10432.0,27840.0,12992.0,41472.0,15168.0,45824.0,45.0,40.0,380.0,680.0,680.0,495.0,500.0,175.0,615.0,615.0,500.0,500.0,1120.0,680.0,680.0,25.0,175.0,25.0,67.8,46.0,9.7,1028.0,1128,25.0,0.0,1125.0,1120.0,0.0,730.0,0.0,1130.0,270.0,0.0,185.0,255.0,185.0,100.0,1120.0,730.0,730.0,1120.0,1120.0,1120.0,730.0,485.0,260.0,260.0,0.0,130.0,135.0,25.0,25.0,230.0,230.0,50.0,50.0,25.0,30.0,40.0,40.0,260.0,260.0,730.0,730.0,235.0,235.0,1125.0,1120.0,1125.0,380.0,730.0,485.0,85.0,0.0,255.0,730.0,485.0,730.0,970.0,1120.0,1120.0,380.0,0.0,165.0,265.0,730.0,1125.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,0.0,0.0,0.0,255.0,730.0,1120.0,355.0,355.0,355.0,270.0,730.0,10.0,15.0,0.0,85.0,23.9,495.0,235.0
Bifrost-Riverton,13.7,56.7,18.4,26.3,330.0,760.0,945.0,37.6,245.0,295.0,44.1,135.0,900.0,260.0,0.0,290.0,115.0,2075.0,1885.0,19.9,50.0,325.0,195.0,160.0,170.0,80.0,75.0,0.0,175.0,160.0,185.0,125.0,175.0,190.0,200.0,20.0,15.0,100.0,255.0,255.0,245.0,325.0,215.0,225.0,185.0,190.0,540.0,21.5,355.0,145.0,85.0,75.0,215.0,65.0,40.0,55.0,65.0,15.0,0.0,1600.0,1600.0,27024.0,56580.0,27593.0,66498.0,38.5,32130.0,44167.0,2.8,30990.0,65850.0,31711.0,77532.0,100.0,1515.0,1170.0,71.8,61.2,445.0,215.0,315.0,360.0,1605.0,135.0,675.0,230.0,285.0,600.0,100.0,0.0,26453.0,51328.0,26848.0,59392.0,38.6,25036.0,38557.0,28544.0,57152.0,29248.0,66304.0,0.0,295.0,870.0,2455.0,2300.0,1890.0,1790.0,785.0,1845.0,1755.0,2205.0,2060.0,3370.0,2455.0,2300.0,10.0,925.0,270.0,72.7,2.1,-3.9,3514.0,3378,430.0,1000.0,3370.0,3365.0,320.0,2605.0,395.0,3380.0,925.0,3365.0,845.0,1065.0,840.0,100.0,3370.0,2605.0,2475.0,3365.0,3370.0,3370.0,2475.0,1625.0,1225.0,1225.0,3370.0,440.0,440.0,390.0,360.0,945.0,895.0,85.0,85.0,270.0,310.0,300.0,355.0,1225.0,1225.0,2605.0,2475.0,955.0,910.0,3365.0,3375.0,3370.0,1845.0,2475.0,1620.0,85.0,3365.0,1065.0,2475.0,1620.0,2615.0,3105.0,3370.0,3375.0,1840.0,820.0,405.0,1515.0,2475.0,3365.0,1225.0,1225.0,1225.0,1225.0,1225.0,1225.0,1225.0,395.0,45.0,190.0,1065.0,2605.0,3365.0,1605.0,1605.0,1600.0,925.0,2475.0,65.0,25.0,75.0,90.0,5.6,1895.0,710.0
Birdtail Creek 57,0.0,0.0,0.0,0.0,10.0,170.0,0.0,,70.0,0.0,,10.0,85.0,40.0,0.0,35.0,0.0,230.0,0.0,,0.0,25.0,30.0,35.0,25.0,0.0,0.0,0.0,30.0,20.0,20.0,10.0,20.0,15.0,15.0,0.0,10.0,0.0,55.0,15.0,25.0,25.0,10.0,10.0,5.0,10.0,15.0,,10.0,5.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,6517.0,16891.0,7056.0,19292.0,24.6,10902.0,17633.0,3.9,6586.0,16946.0,7056.0,19361.0,100.0,40.0,55.0,24.2,16.7,375.0,0.0,5.0,5.0,75.0,0.0,25.0,0.0,0.0,5.0,0.0,20.0,548.0,15264.0,467.0,17216.0,19.6,8288.0,10080.0,548.0,15264.0,467.0,17216.0,15.0,25.0,170.0,205.0,205.0,40.0,45.0,15.0,200.0,200.0,55.0,60.0,415.0,210.0,205.0,20.0,70.0,20.0,16.7,14.4,1.0,407.0,411,0.0,0.0,410.0,410.0,0.0,240.0,0.0,410.0,100.0,0.0,30.0,40.0,50.0,100.0,415.0,240.0,245.0,415.0,410.0,415.0,240.0,165.0,105.0,105.0,0.0,40.0,40.0,10.0,10.0,80.0,85.0,30.0,35.0,20.0,25.0,35.0,35.0,105.0,105.0,240.0,240.0,85.0,90.0,415.0,415.0,410.0,60.0,240.0,165.0,50.0,0.0,40.0,245.0,165.0,245.0,345.0,415.0,410.0,65.0,0.0,50.0,45.0,240.0,410.0,110.0,105.0,105.0,105.0,105.0,105.0,105.0,0.0,0.0,0.0,40.0,245.0,410.0,70.0,70.0,70.0,100.0,245.0,0.0,5.0,0.0,25.0,33.3,40.0,200.0
