GEO_NAME,% of owner households spending 30% or more of its income on shelter costs,% of owner households with a mortgage,% of tenant households in subsidized housing,% of tenant households spending 30% or more of its income on shelter costs,0 Management occupations,0 to 14 years,0 to 17 years,0 to 17 years (%),0 to 4 years,0 to 5 years,0 to 5 years (%),"1 Business, finance and administration occupations",1 household maintainer,10 to 14 years,100 years and over,15 to 19 years,15 to 24 years,15 to 64 years,18 to 64 years,18 to 64 years (%),2 Natural and applied sciences and related occupations,2 household maintainers,20 to 24 years,25 to 29 years,25 to 34 years,25 to 44 years,3 Health occupations,3 or more household maintainers,30 to 34 years,35 to 39 years,35 to 44 years,"4 Occupations in education, law and social, community and government services",40 to 44 years,45 to 49 years,45 to 54 years,45 years and over,"5 Occupations in art, culture, recreation and sport",5 to 14 years,5 to 9 years,50 to 54 years,55 to 59 years,55 to 64 years,6 Sales and service occupations,60 to 64 years,65 to 69 years,65 to 74 years,65 years and over,65 years and over (%),"7 Trades, transport and equipment operators and related occupations",70 to 74 years,75 to 79 years,75 to 84 years,"8 Natural resources, agriculture and related production occupations",80 to 84 years,85 to 89 years,85 years and over,9 Occupations in manufacturing and utilities,90 to 94 years,95 to 99 years,All industry categories,All occupations,Average after-tax income in 2015 for persons aged 15 years and over not in economic families ($),Average after-tax income of households in 2015 ($),Average after-tax income of one-person households in 2015 ($),Average after-tax income of two-or-more-person households in 2015 ($),Average age of the population,Average employment income in 2015 among recipients ($),Average employment income in 2015 for full-year full-time workers ($),Average household size,Average total income in 2015 for persons aged 15 years and over not in economic families ($),Average total income of households in 2015 ($),Average total income of one-person households in 2015 ($),Average total income of two-or-more-person households in 2015 ($),Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 100% data,Employed,Employee,Employment income (%),Employment rate,In the bottom decile,In the eighth decile,In the fifth decile,In the fourth decile,In the labour force,In the ninth decile,In the second decile,In the seventh decile,In the sixth decile,In the third decile,In the top decile,Industry - NAICS2012 - not applicable,Median after-tax income in 2015 for persons aged 15 years and over not in economic families ($),Median after-tax income of households in 2015 ($),Median after-tax income of one-person households in 2015 ($),Median after-tax income of two-or-more-person households in 2015 ($),Median age of the population,Median employment income in 2015 among recipients ($),Median employment income in 2015 for full-year full-time workers ($),Median total income in 2015 for persons aged 15 years and over not in economic families ($),Median total income of households in 2015 ($),Median total income of one-person households in 2015 ($),Median total income of two-or-more-person households in 2015 ($),Multiple-census-family households,Non-census-family households,Not in the labour force,Number of after-tax income recipients aged 15 years and over in private households - 100% data,Number of after-tax income recipients aged 15 years and over in private households - 25% sample data,Number of employment income recipients aged 15 years and over in private households - 100% data,Number of employment income recipients aged 15 years and over in private households - 25% sample data,Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data,Number of government transfers recipients aged 15 years and over in private households - 100% data,Number of government transfers recipients aged 15 years and over in private households - 25% sample data,Number of market income recipients aged 15 years and over in private households - 100% data,Number of market income recipients aged 15 years and over in private households - 25% sample data,Number of persons in private households,Number of total income recipients aged 15 years and over in private households - 100% data,Number of total income recipients aged 15 years and over in private households - 25% sample data,Occupation - not applicable,One-census-family households,One-person households,Percentage with employment income,Population density per square kilometre,"Population percentage change, 2011 to 2016","Population, 2011","Population, 2016",Self-employed,"Total -  Owner and tenant households with household total income greater than zero, in non-farm, non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data",Total - Aboriginal ancestry for the population in private households - 25% sample data,Total - Aboriginal identity for the population in private households - 25% sample data,Total - Admission category and applicant type for the immigrant population in private households who landed between 1980 and 2016 - 25% sample data,Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,Total - Age at immigration for the immigrant population in private households - 25% sample data,Total - Age groups and average age of the population - 100% data,Total - Census families in private households by family size - 100% data,Total - Citizenship for the population in private households - 25% sample data,Total - Commuting destination for the employed labour force aged 15 years and over in private households with a usual place of work - 25% sample data,Total - Commuting duration for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,Total - Couple census families in private households - 100% data,Total - Distribution (%) of the population by broad age groups - 100% data,Total - Economic family income decile group for the population in private households - 100% data,Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,Total - Ethnic origin for the population in private households - 25% sample data,Total - First official language spoken for the total population excluding institutional residents - 100% data,Total - Generation status for the population in private households - 25% sample data,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data",Total - Household after-tax income groups in 2015 for private households - 100% data,Total - Household total income groups in 2015 for private households - 100% data,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Total - Income statistics in 2015 for couple economic families with children in private households - 100% data,Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data,Total - Income statistics in 2015 for economic families in private households - 100% data,Total - Income statistics in 2015 for economic families in private households - 25% sample data,Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data,Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data,Total - Income statistics in 2015 for one-person private households - 100% data,Total - Income statistics in 2015 for one-person private households - 25% sample data,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,Total - Income statistics in 2015 for private households by household size - 100% data,Total - Income statistics in 2015 for private households by household size - 25% sample data,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,Total - Income statistics in 2015 for two-or-more-person private households - 100% data,Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data,Total - Knowledge of languages for the population in private households - 25% sample data,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,Total - Language spoken most often at home for the total population excluding institutional residents - 100% data,"Total - Language used most often at work for the population in private households aged 15 years and over who worked since January 1, 2015 - 25% sample data",Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 15 years and over in private households - 25% sample data,Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 25 to 64 years in private households - 25% sample data,Total - Lone-parent census families in private households - 100% data,Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,Total - Main mode of commuting for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 15 years and over in private households - 25% sample data,Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 25 to 64 years in private households - 25% sample data,Total - Marital status for the population aged 15 years and over - 100% data,Total - Mobility status 5 years ago - 25% sample data,Total - Mother tongue for the total population excluding institutional residents - 100% data,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data,"Total - Other language(s) used regularly at work for the population in private households aged 15 years and over who worked since January 1, 2015 - 25% Sample Data","Total - Owner households in non-farm, non-reserve private dwellings - 25% sample data",Total - Persons not in census families in private households - 100% data,Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,Total - Population aged 15 years and over by Labour force status - 25% sample data,Total - Population by Registered or Treaty Indian status for the population in private households - 25% sample data,Total - Private households by age of primary household maintainers - 25% sample data,Total - Private households by household size - 100% data,Total - Private households by household type - 100% data,Total - Private households by housing suitability - 25% sample data,Total - Private households by number of household maintainers - 25% sample data,Total - Private households by number of persons per room - 25% sample data,Total - Private households by tenure - 25% sample data,Total - Selected places of birth for the immigrant population in private households - 25% sample data,Total - Selected places of birth for the recent immigrant population in private households - 25% sample data,"Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data",Total - Time leaving for work for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,Total - Visible minority for the population in private households - 25% sample data,Total Labour Force population aged 15 years and over by Industry - North American Industry Classification System (NAICS) 2012 - 25% sample data,Total labour force aged 15 years and over by class of worker - 25% sample data,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2016 - 25% sample data,Total number of census families in private households - 100% data,Total population aged 15 years and over by work activity during the reference year - 25% sample data,Total visible minority population,Two-or-more person non-census-family households,Under 5 years,Unemployed,Unemployment rate,With employment income,Without employment income
Amherst,14.4,57.1,17.3,48.0,350.0,1415.0,1745.0,34.7,415.0,525.0,42.9,485.0,2875.0,500.0,10.0,515.0,50.0,5760.0,5375.0,21.9,200.0,1455.0,460.0,475.0,520.0,85.0,435.0,40.0,460.0,505.0,610.0,540.0,570.0,595.0,815.0,25.0,55.0,55.0,495.0,720.0,725.0,885.0,1175.0,725.0,675.0,740.0,2245.0,26.1,605.0,455.0,425.0,470.0,75.0,295.0,230.0,395.0,335.0,110.0,50.0,4265.0,4260.0,26741.0,50107.0,27644.0,62857.0,45.3,33207.0,45676.0,2.1,30548.0,58460.0,31549.0,73735.0,100.0,3870.0,3925.0,61.9,50.1,1330.0,570.0,935.0,1215.0,4380.0,395.0,1735.0,660.0,795.0,1270.0,240.0,120.0,22832.0,42267.0,23296.0,54891.0,47.7,26475.0,39999.0,24071.0,46677.0,24192.0,61254.0,35.0,1725.0,3345.0,7410.0,7405.0,4825.0,4825.0,2440.0,5935.0,5960.0,6125.0,6140.0,9140.0,7410.0,7405.0,120.0,2615.0,1580.0,62.4,779.7,-3.1,9717,9413,335.0,4365.0,9140.0,9140.0,105.0,7730.0,230.0,9415.0,2680.0,9140.0,3370.0,3700.0,2035.0,100.0,9140.0,7730.0,7730.0,9140.0,9195.0,9140.0,7730.0,4735.0,4370.0,4370.0,9140.0,830.0,825.0,1160.0,1165.0,2685.0,2680.0,625.0,615.0,1585.0,1585.0,1890.0,1895.0,4370.0,4370.0,7730.0,7730.0,2790.0,2790.0,9140.0,9200.0,9195.0,4715.0,7730.0,4735.0,650.0,9140.0,3705.0,7730.0,4735.0,8000.0,8715.0,9195.0,9200.0,4715.0,2605.0,2040.0,3870.0,7730.0,9140.0,4375.0,4370.0,4370.0,4375.0,4375.0,4370.0,4375.0,230.0,30.0,1765.0,3705.0,7730.0,9140.0,4380.0,4380.0,4385.0,2680.0,7730.0,375.0,140.0,20.0,510.0,11.6,4825.0,2905.0
Annapolis Royal,27.6,51.7,30.0,56.7,25.0,35.0,45.0,11.1,10.0,15.0,33.3,25.0,235.0,15.0,0.0,15.0,15.0,225.0,210.0,23.8,10.0,55.0,10.0,20.0,15.0,40.0,20.0,10.0,15.0,15.0,20.0,15.0,10.0,25.0,30.0,30.0,10.0,15.0,10.0,30.0,45.0,70.0,40.0,45.0,75.0,75.0,225.0,23.9,10.0,45.0,50.0,45.0,15.0,30.0,30.0,30.0,0.0,5.0,0.0,160.0,160.0,24661.0,48844.0,24661.0,77824.0,57.0,31930.0,51254.0,1.6,27253.0,57793.0,27253.0,94391.0,100.0,145.0,120.0,37.3,32.6,55.0,30.0,55.0,50.0,160.0,35.0,90.0,30.0,50.0,65.0,25.0,0.0,22336.0,40021.0,22976.0,59776.0,63.4,15904.0,37599.0,23104.0,42368.0,23232.0,67328.0,0.0,165.0,285.0,435.0,430.0,220.0,220.0,80.0,355.0,355.0,365.0,350.0,485.0,435.0,430.0,0.0,130.0,160.0,50.6,240.8,2.1,481,491,40.0,295.0,485.0,485.0,60.0,445.0,110.0,490.0,130.0,485.0,95.0,120.0,110.0,100.0,480.0,445.0,445.0,490.0,490.0,485.0,445.0,195.0,290.0,290.0,490.0,20.0,25.0,90.0,85.0,130.0,135.0,15.0,20.0,160.0,160.0,165.0,160.0,290.0,295.0,445.0,445.0,135.0,135.0,485.0,490.0,490.0,215.0,445.0,200.0,20.0,485.0,120.0,445.0,195.0,450.0,465.0,490.0,490.0,215.0,145.0,175.0,145.0,445.0,485.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,115.0,0.0,150.0,115.0,445.0,485.0,165.0,165.0,160.0,130.0,445.0,15.0,10.0,15.0,15.0,9.4,225.0,225.0
"Annapolis, Subd. A",15.0,44.0,4.1,38.4,295.0,675.0,845.0,39.1,195.0,240.0,39.6,300.0,1750.0,245.0,5.0,280.0,80.0,3390.0,3205.0,24.2,110.0,975.0,185.0,185.0,210.0,180.0,190.0,20.0,220.0,230.0,315.0,270.0,330.0,360.0,440.0,60.0,65.0,75.0,230.0,485.0,560.0,610.0,480.0,570.0,650.0,650.0,1800.0,23.1,465.0,470.0,305.0,355.0,235.0,220.0,100.0,160.0,110.0,40.0,15.0,2510.0,2510.0,26951.0,50123.0,28346.0,59108.0,50.0,28361.0,43352.0,2.1,30998.0,58034.0,32332.0,68639.0,100.0,2225.0,2055.0,52.7,44.0,765.0,255.0,620.0,750.0,2560.0,205.0,1200.0,410.0,510.0,945.0,135.0,50.0,23488.0,42352.0,23989.0,51968.0,55.0,19336.0,38501.0,24800.0,46016.0,25331.0,56928.0,20.0,835.0,2495.0,4950.0,4895.0,2995.0,2955.0,1055.0,4085.0,4085.0,4160.0,4115.0,5795.0,4945.0,4895.0,50.0,1895.0,775.0,58.5,9.5,-2.4,6008,5866,455.0,2705.0,5790.0,5790.0,210.0,5115.0,435.0,5870.0,1935.0,5790.0,1520.0,1875.0,1685.0,100.0,5790.0,5120.0,5060.0,5795.0,5805.0,5790.0,5055.0,2925.0,2745.0,2750.0,5795.0,500.0,475.0,1145.0,1120.0,1925.0,1875.0,240.0,260.0,775.0,800.0,900.0,1000.0,2750.0,2750.0,5115.0,5055.0,1970.0,1945.0,5795.0,5805.0,5800.0,2905.0,5055.0,2930.0,250.0,5790.0,1875.0,5055.0,2930.0,5190.0,5580.0,5800.0,5800.0,2900.0,2345.0,995.0,2225.0,5055.0,5790.0,2745.0,2750.0,2750.0,2745.0,2745.0,2745.0,2750.0,435.0,30.0,365.0,1875.0,5115.0,5790.0,2560.0,2560.0,2560.0,1930.0,5055.0,120.0,60.0,45.0,330.0,12.9,2995.0,2125.0
"Annapolis, Subd. B",11.7,45.2,31.6,43.0,210.0,550.0,725.0,36.6,145.0,180.0,36.1,230.0,1255.0,200.0,5.0,260.0,50.0,2620.0,2410.0,26.1,40.0,680.0,165.0,145.0,130.0,60.0,140.0,15.0,165.0,175.0,190.0,235.0,240.0,275.0,365.0,50.0,20.0,40.0,205.0,345.0,460.0,440.0,405.0,385.0,435.0,495.0,1280.0,26.1,410.0,290.0,225.0,205.0,90.0,135.0,110.0,195.0,70.0,55.0,20.0,1865.0,1865.0,24690.0,48407.0,25094.0,59006.0,48.8,28505.0,40819.0,2.2,28145.0,55914.0,28524.0,68366.0,100.0,1670.0,1545.0,55.8,45.7,675.0,225.0,470.0,440.0,1925.0,135.0,880.0,310.0,405.0,610.0,85.0,60.0,22608.0,41818.0,23360.0,53408.0,53.6,21216.0,36463.0,23642.0,46016.0,24256.0,59584.0,25.0,635.0,1730.0,3535.0,3510.0,2200.0,2105.0,925.0,2810.0,2785.0,2925.0,2860.0,4240.0,3530.0,3505.0,60.0,1290.0,595.0,59.5,11.8,-3.3,4599,4448,315.0,1895.0,4245.0,4240.0,95.0,3690.0,220.0,4450.0,1340.0,4245.0,1205.0,1460.0,1155.0,100.0,4245.0,3690.0,3650.0,4245.0,4275.0,4245.0,3650.0,2115.0,1950.0,1950.0,4245.0,400.0,400.0,735.0,695.0,1325.0,1305.0,165.0,185.0,595.0,610.0,705.0,730.0,1950.0,1950.0,3695.0,3655.0,1355.0,1340.0,4245.0,4270.0,4275.0,2090.0,3655.0,2110.0,185.0,4245.0,1460.0,3650.0,2115.0,3895.0,4085.0,4275.0,4270.0,2095.0,1510.0,760.0,1670.0,3655.0,4245.0,1950.0,1950.0,1945.0,1950.0,1950.0,1945.0,1950.0,215.0,25.0,395.0,1465.0,3690.0,4240.0,1920.0,1925.0,1925.0,1340.0,3650.0,50.0,35.0,20.0,255.0,13.2,2195.0,1495.0
"Annapolis, Subd. C",13.0,54.7,5.4,37.3,245.0,690.0,875.0,27.4,220.0,265.0,30.2,265.0,1300.0,235.0,0.0,285.0,30.0,3205.0,3010.0,18.3,125.0,870.0,205.0,225.0,185.0,70.0,170.0,10.0,230.0,265.0,290.0,270.0,260.0,320.0,490.0,20.0,30.0,45.0,235.0,500.0,495.0,515.0,560.0,410.0,345.0,375.0,1050.0,19.0,520.0,290.0,195.0,225.0,95.0,120.0,60.0,100.0,125.0,30.0,10.0,2420.0,2415.0,30800.0,54408.0,31489.0,62067.0,45.2,30500.0,43431.0,2.3,36285.0,63259.0,37171.0,71977.0,100.0,2120.0,2120.0,60.5,49.7,570.0,350.0,620.0,670.0,2495.0,165.0,815.0,435.0,535.0,670.0,85.0,80.0,24896.0,49365.0,25984.0,57958.0,49.8,26176.0,40582.0,27440.0,55168.0,28128.0,65237.0,20.0,615.0,1770.0,4000.0,4050.0,2655.0,2745.0,1285.0,3050.0,3090.0,3425.0,3560.0,4910.0,3995.0,4045.0,80.0,1540.0,560.0,62.8,23.9,-1.4,5016,4947,295.0,2140.0,4910.0,4910.0,105.0,4225.0,195.0,4945.0,1585.0,4910.0,1595.0,1860.0,1370.0,100.0,4910.0,4225.0,4265.0,4910.0,4945.0,4910.0,4260.0,2730.0,2175.0,2180.0,4910.0,535.0,520.0,810.0,830.0,1570.0,1600.0,205.0,190.0,565.0,545.0,695.0,640.0,2180.0,2180.0,4220.0,4260.0,1615.0,1635.0,4910.0,4950.0,4950.0,2705.0,4260.0,2730.0,215.0,4910.0,1860.0,4260.0,2730.0,4255.0,4730.0,4950.0,4945.0,2705.0,1765.0,750.0,2120.0,4265.0,4910.0,2180.0,2175.0,2180.0,2175.0,2180.0,2180.0,2175.0,195.0,30.0,370.0,1860.0,4220.0,4910.0,2495.0,2500.0,2500.0,1585.0,4265.0,40.0,55.0,25.0,375.0,15.0,2655.0,1570.0
"Annapolis, Subd. D",11.4,45.1,0.0,29.2,105.0,430.0,520.0,32.7,130.0,165.0,39.4,130.0,745.0,145.0,0.0,145.0,25.0,1905.0,1815.0,23.4,50.0,560.0,115.0,135.0,75.0,55.0,105.0,15.0,150.0,130.0,145.0,150.0,160.0,180.0,280.0,20.0,30.0,40.0,155.0,270.0,345.0,345.0,375.0,275.0,240.0,280.0,660.0,26.5,235.0,200.0,115.0,125.0,75.0,60.0,30.0,45.0,85.0,15.0,5.0,1340.0,1340.0,28639.0,52435.0,28227.0,58622.0,45.7,29430.0,42388.0,2.3,34167.0,60907.0,33221.0,67983.0,100.0,1245.0,1220.0,58.5,47.3,435.0,170.0,310.0,370.0,1360.0,130.0,540.0,220.0,300.0,445.0,75.0,20.0,21312.0,46336.0,22720.0,54421.0,51.0,22645.0,37434.0,22016.0,51157.0,23616.0,60800.0,10.0,345.0,1265.0,2440.0,2520.0,1540.0,1560.0,750.0,1900.0,1950.0,2005.0,2055.0,2990.0,2440.0,2510.0,25.0,950.0,310.0,60.0,1.5,3.0,2903,2991,120.0,1300.0,2990.0,2995.0,85.0,2560.0,150.0,2990.0,980.0,2995.0,980.0,1170.0,855.0,100.0,2995.0,2565.0,2630.0,2990.0,2990.0,2990.0,2625.0,1625.0,1315.0,1315.0,2990.0,290.0,315.0,545.0,600.0,975.0,1030.0,115.0,105.0,310.0,265.0,395.0,335.0,1315.0,1310.0,2560.0,2625.0,1005.0,1050.0,2995.0,2990.0,2990.0,1540.0,2625.0,1625.0,125.0,2990.0,1165.0,2625.0,1625.0,2560.0,2910.0,2995.0,2990.0,1540.0,1180.0,430.0,1240.0,2630.0,2990.0,1315.0,1315.0,1315.0,1315.0,1315.0,1315.0,1315.0,150.0,0.0,120.0,1165.0,2565.0,2990.0,1365.0,1360.0,1360.0,980.0,2625.0,70.0,35.0,15.0,120.0,8.8,1540.0,1020.0
Antigonish,4.8,43.5,15.0,47.2,165.0,485.0,590.0,29.7,165.0,205.0,31.7,275.0,1355.0,165.0,15.0,235.0,65.0,2750.0,2600.0,21.9,95.0,590.0,525.0,245.0,230.0,170.0,185.0,55.0,235.0,185.0,225.0,420.0,195.0,235.0,320.0,0.0,80.0,50.0,155.0,275.0,300.0,405.0,605.0,320.0,295.0,325.0,1130.0,17.0,185.0,230.0,205.0,230.0,75.0,175.0,135.0,235.0,45.0,65.0,20.0,2125.0,2130.0,27388.0,56698.0,31300.0,74236.0,45.7,36921.0,59916.0,2.1,32775.0,68868.0,37976.0,90199.0,100.0,1955.0,1995.0,62.1,54.6,695.0,320.0,325.0,410.0,2165.0,325.0,590.0,315.0,410.0,470.0,240.0,40.0,22421.0,43371.0,25280.0,63232.0,47.0,22912.0,48653.0,23022.0,47415.0,27482.0,71424.0,15.0,1005.0,1415.0,3525.0,3490.0,2430.0,2365.0,975.0,2850.0,2740.0,3115.0,3095.0,4105.0,3525.0,3490.0,40.0,980.0,840.0,67.1,871.7,-3.5,4524,4364,135.0,1995.0,4105.0,4105.0,240.0,3620.0,335.0,4365.0,1005.0,4105.0,1695.0,1855.0,775.0,100.0,4105.0,3615.0,3580.0,4105.0,4130.0,4100.0,3580.0,1960.0,2000.0,2000.0,4105.0,355.0,375.0,415.0,430.0,1040.0,1060.0,220.0,210.0,840.0,815.0,1190.0,1150.0,2000.0,1995.0,3620.0,3580.0,1155.0,1185.0,4100.0,4125.0,4130.0,2365.0,3575.0,1960.0,230.0,4105.0,1855.0,3575.0,1960.0,3880.0,3920.0,4130.0,4125.0,2365.0,925.0,1325.0,1955.0,3580.0,4105.0,1995.0,2000.0,1995.0,1995.0,1995.0,1995.0,2000.0,335.0,115.0,1065.0,1855.0,3620.0,4100.0,2165.0,2165.0,2165.0,1005.0,3580.0,395.0,160.0,45.0,210.0,9.7,2425.0,1190.0
"Antigonish, Subd. A",9.6,51.5,17.8,33.7,420.0,1435.0,1730.0,11.6,455.0,545.0,13.8,570.0,2110.0,475.0,5.0,485.0,55.0,5200.0,4900.0,8.8,170.0,1300.0,425.0,380.0,360.0,190.0,525.0,15.0,420.0,480.0,480.0,470.0,490.0,515.0,635.0,35.0,115.0,55.0,510.0,590.0,690.0,840.0,860.0,720.0,675.0,670.0,1645.0,13.5,665.0,435.0,255.0,285.0,405.0,145.0,85.0,130.0,110.0,40.0,10.0,4315.0,4315.0,37318.0,72738.0,40157.0,84996.0,42.6,42789.0,62149.0,2.4,46130.0,89948.0,49943.0,104998.0,100.0,3880.0,3780.0,68.3,56.6,475.0,895.0,885.0,890.0,4370.0,825.0,750.0,1040.0,1000.0,885.0,605.0,55.0,30224.0,63090.0,31829.0,76151.0,45.3,33044.0,52116.0,34208.0,74163.0,36454.0,90965.0,35.0,985.0,2490.0,6600.0,6625.0,4895.0,4960.0,2090.0,4790.0,4965.0,6015.0,6120.0,8260.0,6595.0,6625.0,55.0,2400.0,910.0,71.8,8.9,0.3,8253,8278,535.0,3365.0,8255.0,8255.0,220.0,6825.0,410.0,8280.0,2470.0,8255.0,3110.0,3560.0,2135.0,100.0,8260.0,6820.0,6865.0,8255.0,8280.0,8255.0,6865.0,4275.0,3420.0,3425.0,8255.0,1015.0,965.0,1100.0,1085.0,2465.0,2435.0,310.0,340.0,905.0,940.0,1060.0,1125.0,3425.0,3420.0,6825.0,6865.0,2515.0,2485.0,8255.0,8280.0,8280.0,4910.0,6860.0,4275.0,335.0,8255.0,3560.0,6865.0,4275.0,6840.0,7800.0,8280.0,8280.0,4910.0,2860.0,1165.0,3880.0,6860.0,8255.0,3420.0,3425.0,3425.0,3425.0,3425.0,3425.0,3425.0,410.0,45.0,510.0,3560.0,6825.0,8255.0,4370.0,4375.0,4370.0,2470.0,6865.0,340.0,80.0,70.0,490.0,11.2,4895.0,1925.0
"Antigonish, Subd. B",10.5,53.9,4.8,33.3,290.0,1055.0,1295.0,15.8,285.0,370.0,16.2,420.0,1525.0,395.0,0.0,400.0,40.0,4055.0,3820.0,10.9,170.0,1030.0,305.0,245.0,280.0,20.0,280.0,20.0,325.0,350.0,360.0,335.0,425.0,455.0,520.0,25.0,60.0,50.0,375.0,520.0,530.0,590.0,780.0,500.0,475.0,470.0,1190.0,21.4,765.0,290.0,195.0,215.0,155.0,125.0,60.0,95.0,120.0,30.0,10.0,3375.0,3375.0,33546.0,65774.0,34737.0,75563.0,42.7,38732.0,53157.0,2.4,40505.0,78975.0,42058.0,90619.0,100.0,2980.0,3000.0,70.3,56.8,450.0,710.0,710.0,725.0,3415.0,455.0,775.0,695.0,690.0,750.0,340.0,40.0,27200.0,58094.0,27440.0,69939.0,45.4,29707.0,47704.0,29760.0,66981.0,30101.0,81067.0,40.0,660.0,1830.0,5065.0,5070.0,3730.0,3725.0,1560.0,3850.0,3870.0,4410.0,4390.0,6305.0,5065.0,5065.0,40.0,1875.0,615.0,71.0,12.1,-2.1,6439,6306,380.0,2515.0,6305.0,6300.0,55.0,5245.0,165.0,6305.0,1955.0,6305.0,2380.0,2810.0,1630.0,100.0,6300.0,5245.0,5245.0,6300.0,6305.0,6300.0,5245.0,3340.0,2580.0,2580.0,6305.0,790.0,780.0,795.0,805.0,1940.0,1930.0,300.0,295.0,610.0,620.0,695.0,705.0,2580.0,2575.0,5245.0,5245.0,1965.0,1960.0,6305.0,6310.0,6305.0,3715.0,5245.0,3340.0,325.0,6305.0,2805.0,5245.0,3340.0,5250.0,5990.0,6305.0,6305.0,3710.0,2205.0,815.0,2980.0,5245.0,6300.0,2575.0,2580.0,2575.0,2575.0,2575.0,2575.0,2575.0,165.0,15.0,315.0,2810.0,5245.0,6305.0,3415.0,3415.0,3415.0,1955.0,5245.0,125.0,50.0,30.0,435.0,12.7,3725.0,1520.0
Argyle,9.6,42.1,15.4,32.3,265.0,1075.0,1340.0,11.6,315.0,365.0,13.7,500.0,1940.0,395.0,5.0,420.0,10.0,4950.0,4685.0,8.4,135.0,1375.0,380.0,335.0,290.0,75.0,230.0,40.0,360.0,400.0,465.0,390.0,485.0,510.0,650.0,40.0,85.0,25.0,370.0,700.0,690.0,735.0,800.0,660.0,675.0,680.0,1870.0,24.4,425.0,470.0,280.0,325.0,920.0,175.0,155.0,270.0,380.0,80.0,30.0,4135.0,4135.0,31109.0,63466.0,31248.0,73141.0,46.0,36576.0,50124.0,2.3,37385.0,76205.0,37529.0,87820.0,100.0,3855.0,3675.0,67.0,57.2,405.0,670.0,975.0,930.0,4190.0,605.0,1095.0,925.0,960.0,870.0,385.0,60.0,25272.0,56092.0,25664.0,66240.0,49.8,29331.0,42050.0,27285.0,64448.0,27904.0,77909.0,45.0,845.0,2550.0,6565.0,6570.0,4710.0,4710.0,1690.0,5225.0,5255.0,5775.0,5775.0,7825.0,6565.0,6570.0,55.0,2475.0,775.0,69.8,5.2,-4.3,8252,7899,460.0,3345.0,7825.0,7820.0,105.0,6745.0,185.0,7900.0,2565.0,7820.0,2760.0,3630.0,2285.0,100.0,7820.0,6745.0,6745.0,7825.0,7855.0,7820.0,6745.0,4100.0,3365.0,3360.0,7820.0,920.0,920.0,1320.0,1315.0,2540.0,2540.0,245.0,250.0,770.0,775.0,915.0,900.0,3360.0,3365.0,6745.0,6745.0,2590.0,2585.0,7825.0,7850.0,7855.0,4650.0,6745.0,4100.0,280.0,7820.0,3630.0,6745.0,4100.0,6820.0,7485.0,7850.0,7855.0,4650.0,3025.0,1020.0,3855.0,6745.0,7820.0,3360.0,3360.0,3360.0,3360.0,3365.0,3365.0,3360.0,185.0,20.0,320.0,3635.0,6745.0,7825.0,4190.0,4185.0,4185.0,2565.0,6745.0,75.0,70.0,45.0,335.0,8.0,4710.0,2035.0
