GEO_NAME,% of owner households spending 30% or more of its income on shelter costs,% of owner households with a mortgage,% of tenant households in subsidized housing,% of tenant households spending 30% or more of its income on shelter costs,0 Management occupations,0 to 14 years,0 to 17 years,0 to 17 years (%),0 to 4 years,0 to 5 years,0 to 5 years (%),"1 Business, finance and administration occupations",1 household maintainer,10 to 14 years,100 years and over,15 to 19 years,15 to 24 years,15 to 64 years,18 to 64 years,18 to 64 years (%),2 Natural and applied sciences and related occupations,2 household maintainers,20 to 24 years,25 to 29 years,25 to 34 years,25 to 44 years,3 Health occupations,3 or more household maintainers,30 to 34 years,35 to 39 years,35 to 44 years,"4 Occupations in education, law and social, community and government services",40 to 44 years,45 to 49 years,45 to 54 years,45 years and over,"5 Occupations in art, culture, recreation and sport",5 to 14 years,5 to 9 years,50 to 54 years,55 to 59 years,55 to 64 years,6 Sales and service occupations,60 to 64 years,65 to 69 years,65 to 74 years,65 years and over,65 years and over (%),"7 Trades, transport and equipment operators and related occupations",70 to 74 years,75 to 79 years,75 to 84 years,"8 Natural resources, agriculture and related production occupations",80 to 84 years,85 to 89 years,85 years and over,9 Occupations in manufacturing and utilities,90 to 94 years,95 to 99 years,All industry categories,All occupations,Average after-tax income in 2015 for persons aged 15 years and over not in economic families ($),Average after-tax income of households in 2015 ($),Average after-tax income of one-person households in 2015 ($),Average after-tax income of two-or-more-person households in 2015 ($),Average age of the population,Average employment income in 2015 among recipients ($),Average employment income in 2015 for full-year full-time workers ($),Average household size,Average total income in 2015 for persons aged 15 years and over not in economic families ($),Average total income of households in 2015 ($),Average total income of one-person households in 2015 ($),Average total income of two-or-more-person households in 2015 ($),Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 100% data,Employed,Employee,Employment income (%),Employment rate,In the bottom decile,In the eighth decile,In the fifth decile,In the fourth decile,In the labour force,In the ninth decile,In the second decile,In the seventh decile,In the sixth decile,In the third decile,In the top decile,Industry - NAICS2012 - not applicable,Median after-tax income in 2015 for persons aged 15 years and over not in economic families ($),Median after-tax income of households in 2015 ($),Median after-tax income of one-person households in 2015 ($),Median after-tax income of two-or-more-person households in 2015 ($),Median age of the population,Median employment income in 2015 among recipients ($),Median employment income in 2015 for full-year full-time workers ($),Median total income in 2015 for persons aged 15 years and over not in economic families ($),Median total income of households in 2015 ($),Median total income of one-person households in 2015 ($),Median total income of two-or-more-person households in 2015 ($),Multiple-census-family households,Non-census-family households,Not in the labour force,Number of after-tax income recipients aged 15 years and over in private households - 100% data,Number of after-tax income recipients aged 15 years and over in private households - 25% sample data,Number of employment income recipients aged 15 years and over in private households - 100% data,Number of employment income recipients aged 15 years and over in private households - 25% sample data,Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data,Number of government transfers recipients aged 15 years and over in private households - 100% data,Number of government transfers recipients aged 15 years and over in private households - 25% sample data,Number of market income recipients aged 15 years and over in private households - 100% data,Number of market income recipients aged 15 years and over in private households - 25% sample data,Number of persons in private households,Number of total income recipients aged 15 years and over in private households - 100% data,Number of total income recipients aged 15 years and over in private households - 25% sample data,Occupation - not applicable,One-census-family households,One-person households,Percentage with employment income,Population density per square kilometre,"Population percentage change, 2011 to 2016","Population, 2011","Population, 2016",Self-employed,"Total -  Owner and tenant households with household total income greater than zero, in non-farm, non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data",Total - Aboriginal ancestry for the population in private households - 25% sample data,Total - Aboriginal identity for the population in private households - 25% sample data,Total - Admission category and applicant type for the immigrant population in private households who landed between 1980 and 2016 - 25% sample data,Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,Total - Age at immigration for the immigrant population in private households - 25% sample data,Total - Age groups and average age of the population - 100% data,Total - Census families in private households by family size - 100% data,Total - Citizenship for the population in private households - 25% sample data,Total - Commuting destination for the employed labour force aged 15 years and over in private households with a usual place of work - 25% sample data,Total - Commuting duration for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,Total - Couple census families in private households - 100% data,Total - Distribution (%) of the population by broad age groups - 100% data,Total - Economic family income decile group for the population in private households - 100% data,Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,Total - Ethnic origin for the population in private households - 25% sample data,Total - First official language spoken for the total population excluding institutional residents - 100% data,Total - Generation status for the population in private households - 25% sample data,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data",Total - Household after-tax income groups in 2015 for private households - 100% data,Total - Household total income groups in 2015 for private households - 100% data,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Total - Income statistics in 2015 for couple economic families with children in private households - 100% data,Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data,Total - Income statistics in 2015 for economic families in private households - 100% data,Total - Income statistics in 2015 for economic families in private households - 25% sample data,Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data,Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data,Total - Income statistics in 2015 for one-person private households - 100% data,Total - Income statistics in 2015 for one-person private households - 25% sample data,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,Total - Income statistics in 2015 for private households by household size - 100% data,Total - Income statistics in 2015 for private households by household size - 25% sample data,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,Total - Income statistics in 2015 for two-or-more-person private households - 100% data,Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data,Total - Knowledge of languages for the population in private households - 25% sample data,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,Total - Language spoken most often at home for the total population excluding institutional residents - 100% data,"Total - Language used most often at work for the population in private households aged 15 years and over who worked since January 1, 2015 - 25% sample data",Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 15 years and over in private households - 25% sample data,Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 25 to 64 years in private households - 25% sample data,Total - Lone-parent census families in private households - 100% data,Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,Total - Main mode of commuting for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 15 years and over in private households - 25% sample data,Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 25 to 64 years in private households - 25% sample data,Total - Marital status for the population aged 15 years and over - 100% data,Total - Mobility status 5 years ago - 25% sample data,Total - Mother tongue for the total population excluding institutional residents - 100% data,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data,"Total - Other language(s) used regularly at work for the population in private households aged 15 years and over who worked since January 1, 2015 - 25% Sample Data","Total - Owner households in non-farm, non-reserve private dwellings - 25% sample data",Total - Persons not in census families in private households - 100% data,Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,Total - Population aged 15 years and over by Labour force status - 25% sample data,Total - Population by Registered or Treaty Indian status for the population in private households - 25% sample data,Total - Private households by age of primary household maintainers - 25% sample data,Total - Private households by household size - 100% data,Total - Private households by household type - 100% data,Total - Private households by housing suitability - 25% sample data,Total - Private households by number of household maintainers - 25% sample data,Total - Private households by number of persons per room - 25% sample data,Total - Private households by tenure - 25% sample data,Total - Selected places of birth for the immigrant population in private households - 25% sample data,Total - Selected places of birth for the recent immigrant population in private households - 25% sample data,"Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data",Total - Time leaving for work for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,Total - Visible minority for the population in private households - 25% sample data,Total Labour Force population aged 15 years and over by Industry - North American Industry Classification System (NAICS) 2012 - 25% sample data,Total labour force aged 15 years and over by class of worker - 25% sample data,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2016 - 25% sample data,Total number of census families in private households - 100% data,Total population aged 15 years and over by work activity during the reference year - 25% sample data,Total visible minority population,Two-or-more person non-census-family households,Under 5 years,Unemployed,Unemployment rate,With employment income,Without employment income
Aklavik,14.3,28.6,86.2,0.0,15.0,140.0,0.0,,55.0,0.0,,30.0,155.0,45.0,0.0,40.0,0.0,390.0,0.0,,0.0,55.0,45.0,50.0,35.0,10.0,0.0,10.0,50.0,30.0,30.0,60.0,20.0,45.0,55.0,0.0,0.0,10.0,45.0,50.0,30.0,40.0,65.0,30.0,20.0,30.0,60.0,,45.0,20.0,15.0,10.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,28427.0,64521.0,27365.0,81090.0,34.9,36496.0,80934.0,2.7,31853.0,73018.0,30502.0,91977.0,100.0,205.0,235.0,72.6,45.6,100.0,15.0,60.0,50.0,280.0,50.0,95.0,55.0,25.0,75.0,60.0,30.0,18624.0,49152.0,18176.0,64640.0,31.8,17568.0,78848.0,18624.0,52608.0,18176.0,71168.0,10.0,70.0,170.0,430.0,430.0,310.0,310.0,85.0,425.0,425.0,335.0,335.0,590.0,430.0,430.0,30.0,135.0,65.0,68.9,40.8,-6.8,633,590,20.0,215.0,590.0,590.0,10.0,445.0,15.0,590.0,150.0,585.0,160.0,195.0,105.0,100.0,585.0,450.0,445.0,590.0,590.0,585.0,450.0,300.0,215.0,215.0,590.0,75.0,75.0,20.0,25.0,145.0,145.0,45.0,45.0,65.0,65.0,65.0,65.0,215.0,215.0,450.0,450.0,150.0,145.0,590.0,590.0,590.0,280.0,445.0,300.0,50.0,0.0,195.0,450.0,300.0,445.0,535.0,590.0,590.0,280.0,75.0,95.0,205.0,450.0,590.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,15.0,0.0,145.0,195.0,445.0,590.0,280.0,280.0,280.0,150.0,445.0,0.0,5.0,10.0,80.0,28.6,310.0,135.0
BehchokÃ²,10.9,23.9,64.6,6.4,40.0,575.0,0.0,,210.0,0.0,,70.0,310.0,165.0,0.0,175.0,10.0,1170.0,0.0,,10.0,145.0,155.0,140.0,75.0,0.0,30.0,15.0,105.0,125.0,100.0,145.0,110.0,125.0,115.0,10.0,0.0,0.0,205.0,90.0,85.0,85.0,70.0,60.0,45.0,55.0,130.0,,110.0,40.0,25.0,20.0,35.0,10.0,10.0,10.0,10.0,5.0,0.0,525.0,525.0,35808.0,89841.0,40380.0,100890.0,30.0,41335.0,77117.0,4.0,41551.0,104046.0,47232.0,116737.0,100.0,470.0,510.0,77.5,36.4,300.0,180.0,120.0,195.0,615.0,195.0,190.0,135.0,145.0,175.0,225.0,95.0,21952.0,73856.0,25280.0,88320.0,25.8,21440.0,74752.0,21952.0,80512.0,26496.0,98219.0,60.0,100.0,675.0,1190.0,1190.0,920.0,920.0,325.0,1160.0,1160.0,960.0,960.0,1865.0,1190.0,1190.0,95.0,305.0,85.0,71.3,24.9,-2.7,1926,1874,20.0,470.0,1865.0,1865.0,25.0,1290.0,20.0,1875.0,440.0,1865.0,380.0,450.0,295.0,100.0,1865.0,1290.0,1290.0,1865.0,1865.0,1865.0,1290.0,840.0,470.0,470.0,1865.0,235.0,235.0,35.0,35.0,380.0,375.0,85.0,90.0,85.0,85.0,120.0,120.0,470.0,470.0,1290.0,1290.0,385.0,385.0,1865.0,1865.0,1865.0,585.0,1290.0,840.0,140.0,0.0,450.0,1290.0,840.0,1300.0,1660.0,1865.0,1865.0,585.0,230.0,250.0,470.0,1290.0,1865.0,475.0,470.0,475.0,470.0,470.0,470.0,470.0,20.0,0.0,235.0,455.0,1290.0,1865.0,620.0,620.0,620.0,440.0,1290.0,20.0,20.0,0.0,150.0,24.4,920.0,370.0
Colville Lake,,0.0,0.0,,10.0,45.0,,,15.0,,,10.0,30.0,15.0,0.0,10.0,0.0,70.0,,,0.0,10.0,10.0,5.0,10.0,0.0,0.0,0.0,5.0,0.0,10.0,15.0,10.0,5.0,10.0,0.0,0.0,0.0,15.0,10.0,5.0,0.0,10.0,5.0,5.0,0.0,15.0,,10.0,5.0,5.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,55.0,50.0,,,,,32.2,,,3.2,,,,,,45.0,50.0,,50.0,,,,,55.0,,,,,,,0.0,,57472.0,,,25.5,,,,61504.0,,,5.0,10.0,30.0,,,,,,,,,,130.0,,,10.0,30.0,5.0,,1.0,-13.4,149,129,0.0,,130.0,125.0,0.0,,0.0,130.0,30.0,130.0,40.0,45.0,25.0,100.0,,,,130.0,130.0,125.0,90.0,45.0,,,125.0,,,,,,,,,,,,,35.0,,85.0,90.0,,,125.0,130.0,130.0,55.0,85.0,50.0,5.0,,40.0,85.0,50.0,85.0,115.0,125.0,130.0,60.0,25.0,10.0,45.0,90.0,130.0,35.0,40.0,40.0,35.0,35.0,40.0,35.0,0.0,10.0,10.0,45.0,,125.0,55.0,55.0,55.0,30.0,85.0,10.0,0.0,0.0,10.0,18.2,,
Detah,,0.0,87.5,,10.0,45.0,,,15.0,,,10.0,50.0,20.0,0.0,15.0,0.0,160.0,,,0.0,20.0,35.0,15.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,10.0,15.0,0.0,0.0,0.0,10.0,15.0,30.0,25.0,30.0,10.0,10.0,10.0,20.0,,30.0,0.0,5.0,10.0,10.0,5.0,5.0,5.0,0.0,0.0,0.0,105.0,105.0,,,,,37.1,,,2.9,,,,,,80.0,100.0,,44.4,,,,,115.0,,,,,,,10.0,,54656.0,,,32.9,,,,59264.0,,,5.0,20.0,65.0,,,,,,,,,,220.0,,,10.0,50.0,20.0,,163.9,4.3,210,219,10.0,,220.0,220.0,0.0,,0.0,220.0,60.0,220.0,40.0,70.0,40.0,100.0,,,,220.0,220.0,220.0,180.0,110.0,,,220.0,,,,,,,,,,,,,70.0,,180.0,180.0,,,215.0,215.0,220.0,110.0,175.0,115.0,20.0,,70.0,180.0,115.0,175.0,205.0,215.0,215.0,110.0,30.0,25.0,75.0,180.0,215.0,75.0,75.0,70.0,75.0,75.0,75.0,75.0,0.0,0.0,40.0,70.0,,220.0,115.0,115.0,115.0,60.0,180.0,0.0,0.0,0.0,40.0,34.8,,
DÃ©line,0.0,31.2,85.7,0.0,20.0,110.0,0.0,,45.0,0.0,,50.0,140.0,40.0,0.0,35.0,10.0,380.0,0.0,,10.0,45.0,55.0,40.0,35.0,0.0,0.0,0.0,45.0,35.0,35.0,55.0,35.0,30.0,40.0,0.0,10.0,0.0,35.0,40.0,30.0,35.0,60.0,30.0,20.0,20.0,45.0,,60.0,10.0,5.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,260.0,260.0,43715.0,77906.0,41833.0,89257.0,34.6,38624.0,81004.0,2.9,51334.0,91067.0,48582.0,104437.0,100.0,200.0,255.0,80.5,47.6,100.0,60.0,25.0,45.0,285.0,55.0,55.0,45.0,25.0,45.0,75.0,20.0,31552.0,54144.0,30272.0,61824.0,32.4,16192.0,79104.0,33664.0,57216.0,31936.0,67392.0,15.0,55.0,135.0,405.0,405.0,355.0,355.0,105.0,395.0,395.0,365.0,360.0,535.0,405.0,410.0,20.0,120.0,45.0,83.5,6.7,12.9,472,533,10.0,185.0,535.0,530.0,10.0,420.0,10.0,535.0,145.0,535.0,165.0,200.0,90.0,100.0,530.0,425.0,420.0,530.0,535.0,530.0,420.0,285.0,190.0,190.0,535.0,65.0,65.0,20.0,20.0,145.0,145.0,45.0,50.0,45.0,45.0,45.0,45.0,190.0,185.0,420.0,420.0,145.0,145.0,530.0,530.0,535.0,310.0,420.0,285.0,60.0,0.0,200.0,420.0,285.0,420.0,490.0,535.0,535.0,310.0,80.0,75.0,200.0,420.0,535.0,185.0,190.0,190.0,185.0,190.0,185.0,190.0,10.0,0.0,105.0,200.0,420.0,530.0,285.0,280.0,285.0,150.0,420.0,10.0,10.0,0.0,85.0,29.8,355.0,70.0
Enterprise,,50.0,0.0,,10.0,20.0,,,10.0,,,10.0,25.0,5.0,0.0,5.0,0.0,65.0,,,0.0,20.0,10.0,5.0,0.0,0.0,0.0,10.0,5.0,10.0,10.0,10.0,5.0,5.0,10.0,0.0,0.0,0.0,10.0,10.0,15.0,15.0,10.0,5.0,15.0,10.0,20.0,,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,,,,,40.4,,,2.3,,,,,,45.0,45.0,,52.9,,,,,55.0,,,,,,,0.0,,68608.0,,,42.0,,,,79104.0,,,0.0,15.0,25.0,,,,,,,,,,105.0,,,0.0,30.0,15.0,,0.4,7.1,99,106,10.0,,105.0,105.0,10.0,,0.0,105.0,30.0,105.0,45.0,40.0,25.0,100.0,,,,105.0,105.0,110.0,85.0,55.0,,,105.0,,,,,,,,,,,,,45.0,,80.0,80.0,,,105.0,105.0,105.0,70.0,80.0,55.0,0.0,,45.0,85.0,50.0,80.0,100.0,105.0,105.0,70.0,30.0,20.0,45.0,85.0,110.0,45.0,40.0,45.0,45.0,45.0,45.0,40.0,0.0,10.0,15.0,45.0,,105.0,60.0,60.0,60.0,30.0,85.0,10.0,0.0,0.0,10.0,18.2,,
Fort Good Hope,11.1,27.8,60.0,0.0,20.0,130.0,0.0,,40.0,0.0,,25.0,110.0,45.0,0.0,30.0,0.0,325.0,0.0,,10.0,55.0,40.0,40.0,35.0,0.0,10.0,0.0,50.0,35.0,30.0,55.0,25.0,30.0,40.0,0.0,10.0,0.0,50.0,30.0,15.0,25.0,50.0,25.0,10.0,20.0,60.0,,60.0,20.0,20.0,20.0,15.0,5.0,0.0,10.0,0.0,0.0,0.0,235.0,235.0,41711.0,85713.0,37966.0,99037.0,34.4,42969.0,85574.0,3.1,48955.0,100103.0,44090.0,115735.0,100.0,185.0,225.0,81.1,48.7,55.0,40.0,45.0,30.0,240.0,65.0,50.0,60.0,35.0,70.0,60.0,10.0,23232.0,72960.0,22656.0,84224.0,31.5,20928.0,84736.0,23232.0,83541.0,22656.0,97024.0,10.0,45.0,140.0,375.0,375.0,310.0,310.0,115.0,370.0,365.0,320.0,320.0,515.0,370.0,370.0,0.0,110.0,35.0,82.9,10.9,0.2,515,516,10.0,165.0,515.0,515.0,0.0,385.0,0.0,520.0,135.0,515.0,135.0,185.0,100.0,100.0,515.0,380.0,385.0,520.0,520.0,515.0,385.0,255.0,165.0,165.0,515.0,70.0,65.0,25.0,25.0,125.0,125.0,25.0,25.0,35.0,35.0,45.0,40.0,165.0,165.0,385.0,380.0,125.0,125.0,515.0,515.0,520.0,275.0,380.0,255.0,40.0,0.0,185.0,380.0,250.0,380.0,475.0,515.0,515.0,275.0,85.0,65.0,190.0,380.0,515.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,10.0,0.0,75.0,185.0,380.0,515.0,245.0,245.0,245.0,135.0,380.0,10.0,10.0,0.0,55.0,22.9,315.0,70.0
Fort Liard,14.3,33.3,58.3,0.0,15.0,110.0,0.0,,30.0,0.0,,20.0,100.0,45.0,0.0,45.0,0.0,350.0,0.0,,0.0,50.0,25.0,45.0,30.0,10.0,0.0,15.0,35.0,35.0,30.0,50.0,35.0,35.0,40.0,0.0,0.0,0.0,35.0,30.0,35.0,40.0,45.0,20.0,15.0,15.0,45.0,,40.0,10.0,10.0,10.0,0.0,10.0,0.0,5.0,0.0,5.0,0.0,185.0,185.0,41059.0,69098.0,41296.0,78067.0,34.9,38775.0,79702.0,3.0,49182.0,79400.0,49499.0,89046.0,100.0,140.0,175.0,79.7,36.4,110.0,25.0,30.0,75.0,200.0,30.0,55.0,15.0,40.0,70.0,55.0,20.0,27456.0,54272.0,32640.0,64896.0,33.2,21440.0,78592.0,28992.0,59392.0,33664.0,69888.0,15.0,40.0,185.0,360.0,365.0,270.0,270.0,75.0,360.0,360.0,280.0,285.0,500.0,360.0,365.0,20.0,105.0,40.0,71.4,7.3,-6.7,536,500,0.0,160.0,495.0,500.0,10.0,385.0,10.0,500.0,140.0,495.0,120.0,130.0,85.0,100.0,495.0,385.0,385.0,495.0,500.0,495.0,390.0,275.0,165.0,165.0,495.0,60.0,60.0,25.0,25.0,125.0,125.0,40.0,40.0,40.0,40.0,45.0,45.0,165.0,165.0,390.0,385.0,125.0,125.0,495.0,500.0,500.0,255.0,385.0,275.0,55.0,0.0,130.0,385.0,275.0,390.0,465.0,500.0,500.0,255.0,105.0,80.0,140.0,385.0,500.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,10.0,0.0,60.0,135.0,390.0,495.0,200.0,200.0,200.0,135.0,385.0,0.0,0.0,0.0,65.0,32.5,275.0,115.0
Fort McPherson,13.0,29.2,86.7,10.0,20.0,150.0,0.0,,60.0,0.0,,30.0,185.0,30.0,0.0,45.0,0.0,450.0,0.0,,10.0,75.0,60.0,50.0,40.0,0.0,0.0,10.0,60.0,30.0,30.0,65.0,30.0,40.0,60.0,0.0,10.0,0.0,55.0,60.0,45.0,55.0,65.0,30.0,20.0,35.0,95.0,,90.0,25.0,20.0,30.0,10.0,15.0,5.0,15.0,10.0,0.0,0.0,310.0,310.0,38333.0,62248.0,38785.0,73786.0,36.9,36289.0,76371.0,2.6,44481.0,70739.0,45095.0,83348.0,100.0,245.0,295.0,74.1,44.5,130.0,35.0,50.0,55.0,335.0,95.0,110.0,35.0,60.0,80.0,40.0,25.0,23936.0,45824.0,23744.0,60096.0,33.0,19776.0,78592.0,24320.0,47104.0,23776.0,65792.0,10.0,100.0,215.0,530.0,530.0,390.0,390.0,120.0,520.0,515.0,425.0,425.0,695.0,530.0,530.0,20.0,155.0,90.0,71.8,13.1,-11.6,792,700,10.0,270.0,700.0,695.0,10.0,550.0,10.0,700.0,185.0,695.0,185.0,235.0,110.0,100.0,700.0,550.0,550.0,700.0,700.0,695.0,550.0,350.0,270.0,270.0,695.0,80.0,80.0,25.0,30.0,175.0,175.0,60.0,55.0,85.0,90.0,95.0,95.0,270.0,270.0,550.0,550.0,185.0,185.0,695.0,700.0,700.0,365.0,550.0,350.0,70.0,0.0,235.0,545.0,345.0,550.0,635.0,700.0,700.0,365.0,115.0,150.0,250.0,550.0,695.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,10.0,0.0,150.0,240.0,550.0,695.0,330.0,335.0,335.0,185.0,550.0,10.0,10.0,0.0,85.0,25.4,395.0,155.0
Fort Providence,12.0,36.0,70.8,12.5,20.0,110.0,0.0,,35.0,0.0,,20.0,145.0,35.0,0.0,50.0,10.0,510.0,0.0,,10.0,80.0,50.0,45.0,30.0,0.0,10.0,20.0,50.0,30.0,40.0,55.0,50.0,70.0,65.0,10.0,0.0,0.0,35.0,55.0,45.0,60.0,90.0,55.0,25.0,25.0,70.0,,65.0,20.0,15.0,15.0,30.0,10.0,0.0,5.0,0.0,5.0,0.0,310.0,310.0,31683.0,71785.0,34528.0,81721.0,39.0,36441.0,70036.0,2.8,36036.0,82528.0,39617.0,93971.0,100.0,240.0,295.0,72.3,41.4,150.0,45.0,50.0,55.0,370.0,80.0,95.0,20.0,50.0,60.0,70.0,60.0,20384.0,54656.0,20736.0,65088.0,41.0,17600.0,67243.0,20800.0,59008.0,21504.0,70400.0,10.0,65.0,210.0,560.0,560.0,405.0,405.0,135.0,555.0,555.0,435.0,435.0,690.0,560.0,560.0,60.0,170.0,50.0,69.8,2.7,-5.3,734,695,15.0,245.0,690.0,690.0,10.0,575.0,10.0,700.0,185.0,690.0,205.0,230.0,150.0,100.0,685.0,580.0,580.0,685.0,695.0,685.0,580.0,405.0,250.0,245.0,685.0,100.0,100.0,45.0,40.0,190.0,185.0,30.0,30.0,50.0,50.0,85.0,80.0,250.0,245.0,575.0,580.0,195.0,195.0,690.0,695.0,700.0,335.0,580.0,410.0,40.0,0.0,235.0,580.0,405.0,590.0,650.0,695.0,700.0,335.0,125.0,120.0,240.0,580.0,690.0,245.0,245.0,250.0,250.0,250.0,250.0,245.0,10.0,0.0,115.0,230.0,580.0,690.0,370.0,365.0,370.0,185.0,580.0,10.0,15.0,10.0,130.0,35.1,405.0,170.0
