GEO_NAME,% of owner households spending 30% or more of its income on shelter costs,% of owner households with a mortgage,% of tenant households in subsidized housing,% of tenant households spending 30% or more of its income on shelter costs,0 Management occupations,0 to 14 years,0 to 17 years,0 to 17 years (%),0 to 4 years,0 to 5 years,0 to 5 years (%),"1 Business, finance and administration occupations",1 household maintainer,10 to 14 years,100 years and over,15 to 19 years,15 to 24 years,15 to 64 years,18 to 64 years,18 to 64 years (%),2 Natural and applied sciences and related occupations,2 household maintainers,20 to 24 years,25 to 29 years,25 to 34 years,25 to 44 years,3 Health occupations,3 or more household maintainers,30 to 34 years,35 to 39 years,35 to 44 years,"4 Occupations in education, law and social, community and government services",40 to 44 years,45 to 49 years,45 to 54 years,45 years and over,"5 Occupations in art, culture, recreation and sport",5 to 14 years,5 to 9 years,50 to 54 years,55 to 59 years,55 to 64 years,6 Sales and service occupations,60 to 64 years,65 to 69 years,65 to 74 years,65 years and over,65 years and over (%),"7 Trades, transport and equipment operators and related occupations",70 to 74 years,75 to 79 years,75 to 84 years,"8 Natural resources, agriculture and related production occupations",80 to 84 years,85 to 89 years,85 years and over,9 Occupations in manufacturing and utilities,90 to 94 years,95 to 99 years,All industry categories,All occupations,Average after-tax income in 2015 for persons aged 15 years and over not in economic families ($),Average after-tax income of households in 2015 ($),Average after-tax income of one-person households in 2015 ($),Average after-tax income of two-or-more-person households in 2015 ($),Average age of the population,Average employment income in 2015 among recipients ($),Average employment income in 2015 for full-year full-time workers ($),Average household size,Average total income in 2015 for persons aged 15 years and over not in economic families ($),Average total income of households in 2015 ($),Average total income of one-person households in 2015 ($),Average total income of two-or-more-person households in 2015 ($),Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 100% data,Employed,Employee,Employment income (%),Employment rate,In the bottom decile,In the eighth decile,In the fifth decile,In the fourth decile,In the labour force,In the ninth decile,In the second decile,In the seventh decile,In the sixth decile,In the third decile,In the top decile,Industry - NAICS2012 - not applicable,Median after-tax income in 2015 for persons aged 15 years and over not in economic families ($),Median after-tax income of households in 2015 ($),Median after-tax income of one-person households in 2015 ($),Median after-tax income of two-or-more-person households in 2015 ($),Median age of the population,Median employment income in 2015 among recipients ($),Median employment income in 2015 for full-year full-time workers ($),Median total income in 2015 for persons aged 15 years and over not in economic families ($),Median total income of households in 2015 ($),Median total income of one-person households in 2015 ($),Median total income of two-or-more-person households in 2015 ($),Multiple-census-family households,Non-census-family households,Not in the labour force,Number of after-tax income recipients aged 15 years and over in private households - 100% data,Number of after-tax income recipients aged 15 years and over in private households - 25% sample data,Number of employment income recipients aged 15 years and over in private households - 100% data,Number of employment income recipients aged 15 years and over in private households - 25% sample data,Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data,Number of government transfers recipients aged 15 years and over in private households - 100% data,Number of government transfers recipients aged 15 years and over in private households - 25% sample data,Number of market income recipients aged 15 years and over in private households - 100% data,Number of market income recipients aged 15 years and over in private households - 25% sample data,Number of persons in private households,Number of total income recipients aged 15 years and over in private households - 100% data,Number of total income recipients aged 15 years and over in private households - 25% sample data,Occupation - not applicable,One-census-family households,One-person households,Percentage with employment income,Population density per square kilometre,"Population percentage change, 2011 to 2016","Population, 2011","Population, 2016",Self-employed,"Total -  Owner and tenant households with household total income greater than zero, in non-farm, non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data",Total - Aboriginal ancestry for the population in private households - 25% sample data,Total - Aboriginal identity for the population in private households - 25% sample data,Total - Admission category and applicant type for the immigrant population in private households who landed between 1980 and 2016 - 25% sample data,Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,Total - Age at immigration for the immigrant population in private households - 25% sample data,Total - Age groups and average age of the population - 100% data,Total - Census families in private households by family size - 100% data,Total - Citizenship for the population in private households - 25% sample data,Total - Commuting destination for the employed labour force aged 15 years and over in private households with a usual place of work - 25% sample data,Total - Commuting duration for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,Total - Couple census families in private households - 100% data,Total - Distribution (%) of the population by broad age groups - 100% data,Total - Economic family income decile group for the population in private households - 100% data,Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,Total - Ethnic origin for the population in private households - 25% sample data,Total - First official language spoken for the total population excluding institutional residents - 100% data,Total - Generation status for the population in private households - 25% sample data,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data",Total - Household after-tax income groups in 2015 for private households - 100% data,Total - Household total income groups in 2015 for private households - 100% data,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Total - Income statistics in 2015 for couple economic families with children in private households - 100% data,Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data,Total - Income statistics in 2015 for economic families in private households - 100% data,Total - Income statistics in 2015 for economic families in private households - 25% sample data,Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data,Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data,Total - Income statistics in 2015 for one-person private households - 100% data,Total - Income statistics in 2015 for one-person private households - 25% sample data,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,Total - Income statistics in 2015 for private households by household size - 100% data,Total - Income statistics in 2015 for private households by household size - 25% sample data,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,Total - Income statistics in 2015 for two-or-more-person private households - 100% data,Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data,Total - Knowledge of languages for the population in private households - 25% sample data,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,Total - Language spoken most often at home for the total population excluding institutional residents - 100% data,"Total - Language used most often at work for the population in private households aged 15 years and over who worked since January 1, 2015 - 25% sample data",Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 15 years and over in private households - 25% sample data,Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 25 to 64 years in private households - 25% sample data,Total - Lone-parent census families in private households - 100% data,Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,Total - Main mode of commuting for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 15 years and over in private households - 25% sample data,Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 25 to 64 years in private households - 25% sample data,Total - Marital status for the population aged 15 years and over - 100% data,Total - Mobility status 5 years ago - 25% sample data,Total - Mother tongue for the total population excluding institutional residents - 100% data,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data,"Total - Other language(s) used regularly at work for the population in private households aged 15 years and over who worked since January 1, 2015 - 25% Sample Data","Total - Owner households in non-farm, non-reserve private dwellings - 25% sample data",Total - Persons not in census families in private households - 100% data,Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,Total - Population aged 15 years and over by Labour force status - 25% sample data,Total - Population by Registered or Treaty Indian status for the population in private households - 25% sample data,Total - Private households by age of primary household maintainers - 25% sample data,Total - Private households by household size - 100% data,Total - Private households by household type - 100% data,Total - Private households by housing suitability - 25% sample data,Total - Private households by number of household maintainers - 25% sample data,Total - Private households by number of persons per room - 25% sample data,Total - Private households by tenure - 25% sample data,Total - Selected places of birth for the immigrant population in private households - 25% sample data,Total - Selected places of birth for the recent immigrant population in private households - 25% sample data,"Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data",Total - Time leaving for work for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,Total - Visible minority for the population in private households - 25% sample data,Total Labour Force population aged 15 years and over by Industry - North American Industry Classification System (NAICS) 2012 - 25% sample data,Total labour force aged 15 years and over by class of worker - 25% sample data,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2016 - 25% sample data,Total number of census families in private households - 100% data,Total population aged 15 years and over by work activity during the reference year - 25% sample data,Total visible minority population,Two-or-more person non-census-family households,Under 5 years,Unemployed,Unemployment rate,With employment income,Without employment income
Arctic Bay,0.0,42.9,86.1,0.0,20.0,330.0,0.0,,125.0,0.0,,25.0,150.0,90.0,0.0,65.0,0.0,505.0,0.0,,0.0,55.0,75.0,85.0,60.0,0.0,10.0,0.0,80.0,50.0,45.0,50.0,40.0,35.0,35.0,10.0,10.0,0.0,120.0,25.0,25.0,30.0,75.0,20.0,15.0,20.0,35.0,,75.0,15.0,0.0,0.0,10.0,5.0,0.0,5.0,10.0,0.0,0.0,270.0,270.0,56174.0,80895.0,57521.0,87965.0,25.2,37046.0,73170.0,4.0,68541.0,92538.0,70936.0,99073.0,100.0,225.0,265.0,76.7,42.1,180.0,45.0,75.0,50.0,280.0,80.0,160.0,85.0,90.0,65.0,45.0,15.0,40363.0,65792.0,40235.0,72960.0,22.3,14592.0,69888.0,45227.0,72576.0,45099.0,78336.0,35.0,55.0,255.0,510.0,510.0,405.0,405.0,135.0,495.0,495.0,430.0,430.0,865.0,510.0,510.0,10.0,120.0,50.0,75.9,3.5,5.5,823,868,0.0,210.0,865.0,865.0,0.0,535.0,10.0,870.0,195.0,865.0,210.0,220.0,130.0,100.0,865.0,540.0,540.0,870.0,870.0,865.0,540.0,360.0,210.0,210.0,870.0,115.0,115.0,0.0,0.0,160.0,155.0,35.0,40.0,45.0,50.0,55.0,60.0,215.0,210.0,535.0,535.0,165.0,160.0,865.0,870.0,870.0,330.0,535.0,365.0,65.0,0.0,215.0,540.0,360.0,535.0,740.0,870.0,870.0,325.0,30.0,100.0,220.0,535.0,865.0,215.0,210.0,215.0,210.0,210.0,210.0,210.0,0.0,0.0,180.0,215.0,540.0,865.0,280.0,280.0,280.0,195.0,540.0,10.0,5.0,0.0,60.0,21.4,410.0,130.0
Arviat,0.0,40.0,68.8,3.1,35.0,960.0,0.0,,345.0,0.0,,115.0,440.0,275.0,0.0,285.0,0.0,1605.0,0.0,,15.0,150.0,250.0,220.0,145.0,10.0,25.0,15.0,185.0,150.0,170.0,210.0,155.0,145.0,135.0,0.0,25.0,10.0,340.0,100.0,70.0,75.0,245.0,55.0,45.0,40.0,90.0,,180.0,25.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,865.0,865.0,47982.0,88177.0,49234.0,95307.0,25.3,43387.0,78849.0,4.4,58644.0,101452.0,59728.0,109091.0,100.0,695.0,850.0,77.5,41.1,540.0,175.0,235.0,265.0,1060.0,165.0,350.0,185.0,160.0,305.0,270.0,195.0,29376.0,71040.0,32576.0,76800.0,21.7,22656.0,82859.0,31296.0,76160.0,35712.0,81280.0,90.0,115.0,635.0,1515.0,1515.0,1090.0,1095.0,430.0,1505.0,1505.0,1150.0,1150.0,2650.0,1520.0,1520.0,200.0,400.0,90.0,64.3,20.1,14.6,2318,2657,10.0,595.0,2650.0,2650.0,20.0,1695.0,20.0,2660.0,595.0,2650.0,615.0,685.0,420.0,100.0,2650.0,1695.0,1690.0,2650.0,2655.0,2650.0,1695.0,1070.0,605.0,605.0,2650.0,345.0,340.0,30.0,30.0,500.0,505.0,105.0,105.0,90.0,95.0,115.0,115.0,600.0,600.0,1695.0,1690.0,510.0,505.0,2650.0,2655.0,2660.0,1000.0,1690.0,1070.0,175.0,0.0,685.0,1695.0,1075.0,1700.0,2305.0,2655.0,2655.0,1005.0,125.0,250.0,690.0,1690.0,2650.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,20.0,0.0,475.0,685.0,1690.0,2650.0,1060.0,1060.0,1060.0,595.0,1690.0,25.0,20.0,10.0,370.0,34.9,1090.0,600.0
"Baffin, Unorganized",,0.0,0.0,,0.0,20.0,,,5.0,,,0.0,10.0,5.0,0.0,10.0,0.0,45.0,,,0.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,,,,,26.9,,,4.3,,,,,,20.0,15.0,,50.0,,,,,20.0,,,,,,,10.0,,,,,21.5,,,,,,,5.0,0.0,20.0,,,,,,,,,,60.0,,,0.0,15.0,0.0,,0.0,1140.0,5,62,0.0,,60.0,60.0,0.0,,0.0,65.0,10.0,65.0,20.0,15.0,10.0,100.0,,,,60.0,65.0,60.0,45.0,25.0,,,60.0,,,,,,,,,,,,,,,40.0,40.0,,,60.0,60.0,65.0,25.0,40.0,25.0,5.0,,15.0,40.0,25.0,40.0,60.0,60.0,60.0,20.0,0.0,5.0,15.0,40.0,60.0,10.0,15.0,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,15.0,,65.0,20.0,20.0,20.0,15.0,40.0,0.0,0.0,0.0,10.0,50.0,,
Baker Lake,0.0,47.6,91.6,4.2,60.0,650.0,0.0,,230.0,0.0,,85.0,430.0,185.0,0.0,185.0,0.0,1320.0,0.0,,15.0,135.0,205.0,200.0,135.0,10.0,20.0,15.0,120.0,115.0,140.0,160.0,110.0,130.0,145.0,10.0,20.0,10.0,235.0,120.0,85.0,80.0,245.0,45.0,40.0,40.0,100.0,,215.0,25.0,20.0,15.0,25.0,10.0,0.0,5.0,10.0,0.0,0.0,845.0,850.0,52875.0,85347.0,54570.0,94238.0,28.2,46273.0,76847.0,3.5,64593.0,99399.0,66950.0,108773.0,100.0,695.0,840.0,83.7,49.6,390.0,150.0,155.0,180.0,945.0,175.0,260.0,170.0,115.0,215.0,235.0,100.0,40576.0,73216.0,39552.0,82432.0,24.8,26560.0,79462.0,42688.0,80213.0,42240.0,92928.0,60.0,150.0,460.0,1300.0,1300.0,1040.0,1045.0,455.0,1285.0,1285.0,1075.0,1070.0,2055.0,1300.0,1300.0,100.0,365.0,130.0,74.3,11.4,10.5,1872,2069,10.0,580.0,2050.0,2050.0,15.0,1405.0,20.0,2070.0,500.0,2050.0,625.0,690.0,340.0,100.0,2055.0,1400.0,1400.0,2055.0,2065.0,2055.0,1400.0,920.0,580.0,580.0,2050.0,265.0,260.0,45.0,40.0,445.0,445.0,115.0,115.0,130.0,130.0,145.0,145.0,580.0,580.0,1405.0,1405.0,450.0,450.0,2050.0,2065.0,2065.0,960.0,1405.0,920.0,160.0,0.0,685.0,1405.0,920.0,1415.0,1820.0,2060.0,2065.0,960.0,105.0,275.0,695.0,1400.0,2050.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,25.0,10.0,475.0,685.0,1400.0,2050.0,945.0,945.0,945.0,500.0,1400.0,15.0,20.0,0.0,250.0,26.5,1040.0,360.0
Bathurst Inlet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Bay,0.0,57.1,86.6,3.7,100.0,475.0,0.0,,160.0,0.0,,150.0,350.0,160.0,0.0,135.0,10.0,1205.0,0.0,,30.0,170.0,165.0,135.0,105.0,20.0,20.0,20.0,135.0,110.0,110.0,195.0,95.0,120.0,140.0,0.0,15.0,10.0,155.0,115.0,105.0,120.0,170.0,90.0,35.0,30.0,85.0,,165.0,20.0,20.0,15.0,25.0,5.0,10.0,10.0,20.0,0.0,0.0,895.0,890.0,63789.0,102896.0,66615.0,111925.0,31.2,52647.0,90423.0,3.2,77103.0,122088.0,80701.0,132388.0,100.0,780.0,865.0,87.4,61.7,210.0,120.0,170.0,115.0,930.0,170.0,175.0,115.0,105.0,155.0,405.0,40.0,57728.0,86528.0,67584.0,91136.0,28.4,29376.0,90795.0,68864.0,96209.0,82688.0,102656.0,60.0,125.0,335.0,1220.0,1225.0,1100.0,1100.0,460.0,1190.0,1190.0,1135.0,1130.0,1740.0,1225.0,1220.0,40.0,360.0,110.0,87.0,8.7,9.8,1608,1766,30.0,540.0,1740.0,1740.0,30.0,1270.0,50.0,1765.0,480.0,1735.0,675.0,755.0,320.0,100.0,1735.0,1270.0,1265.0,1740.0,1765.0,1740.0,1265.0,880.0,540.0,545.0,1735.0,220.0,220.0,70.0,70.0,430.0,430.0,110.0,115.0,110.0,105.0,130.0,130.0,540.0,545.0,1270.0,1265.0,435.0,435.0,1735.0,1765.0,1765.0,1010.0,1270.0,885.0,155.0,0.0,755.0,1270.0,880.0,1290.0,1580.0,1765.0,1765.0,1015.0,135.0,215.0,780.0,1265.0,1740.0,545.0,540.0,545.0,540.0,545.0,545.0,540.0,50.0,10.0,410.0,755.0,1270.0,1735.0,930.0,935.0,935.0,480.0,1270.0,45.0,20.0,10.0,160.0,17.2,1105.0,165.0
Cape Dorset,0.0,37.5,84.8,0.0,25.0,515.0,0.0,,190.0,0.0,,70.0,280.0,135.0,0.0,130.0,10.0,865.0,0.0,,10.0,75.0,115.0,115.0,85.0,10.0,10.0,10.0,110.0,85.0,85.0,75.0,75.0,75.0,95.0,0.0,50.0,0.0,185.0,70.0,55.0,60.0,110.0,35.0,30.0,30.0,55.0,,110.0,15.0,15.0,10.0,10.0,5.0,0.0,0.0,10.0,0.0,0.0,480.0,480.0,50370.0,72817.0,46432.0,79503.0,26.6,36820.0,77936.0,3.9,60494.0,81995.0,55482.0,88714.0,100.0,405.0,440.0,74.2,44.0,400.0,55.0,135.0,100.0,550.0,70.0,185.0,55.0,100.0,240.0,105.0,70.0,23616.0,61824.0,21056.0,65024.0,23.3,15189.0,83072.0,24640.0,65792.0,21376.0,68352.0,60.0,90.0,375.0,845.0,845.0,605.0,605.0,190.0,825.0,830.0,655.0,660.0,1440.0,845.0,845.0,70.0,215.0,70.0,65.8,147.9,5.7,1363,1441,40.0,365.0,1440.0,1440.0,10.0,920.0,10.0,1440.0,340.0,1440.0,335.0,350.0,205.0,100.0,1440.0,920.0,925.0,1445.0,1440.0,1440.0,925.0,620.0,370.0,365.0,1440.0,165.0,165.0,20.0,20.0,285.0,285.0,80.0,80.0,75.0,75.0,100.0,105.0,370.0,365.0,925.0,925.0,290.0,290.0,1440.0,1440.0,1440.0,555.0,925.0,620.0,135.0,0.0,350.0,925.0,620.0,920.0,1245.0,1445.0,1445.0,555.0,35.0,190.0,405.0,920.0,1445.0,365.0,365.0,370.0,370.0,365.0,365.0,370.0,10.0,0.0,330.0,350.0,925.0,1440.0,550.0,545.0,550.0,340.0,920.0,10.0,15.0,0.0,150.0,27.3,605.0,315.0
Chesterfield Inlet,0.0,0.0,85.0,0.0,20.0,145.0,0.0,,55.0,0.0,,20.0,80.0,50.0,0.0,45.0,0.0,270.0,0.0,,10.0,35.0,35.0,40.0,35.0,0.0,15.0,0.0,30.0,30.0,25.0,45.0,20.0,25.0,20.0,0.0,0.0,0.0,45.0,15.0,15.0,15.0,45.0,10.0,5.0,10.0,20.0,,35.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,195.0,195.0,45926.0,91774.0,44532.0,100750.0,27.1,42880.0,79688.0,3.5,52332.0,105850.0,50601.0,116347.0,100.0,175.0,195.0,83.7,61.4,25.0,20.0,45.0,30.0,200.0,60.0,55.0,25.0,15.0,75.0,70.0,10.0,37888.0,76032.0,0.0,81152.0,24.2,21568.0,85504.0,39680.0,81152.0,0.0,88832.0,10.0,25.0,75.0,270.0,275.0,245.0,245.0,85.0,270.0,265.0,250.0,255.0,415.0,275.0,270.0,10.0,85.0,20.0,89.3,3.1,39.6,313,437,0.0,120.0,415.0,415.0,0.0,280.0,0.0,440.0,105.0,415.0,165.0,175.0,80.0,100.0,415.0,280.0,280.0,415.0,425.0,415.0,280.0,180.0,120.0,120.0,415.0,60.0,65.0,5.0,0.0,95.0,95.0,20.0,20.0,20.0,15.0,30.0,25.0,120.0,115.0,285.0,280.0,100.0,100.0,415.0,425.0,425.0,230.0,280.0,185.0,30.0,0.0,175.0,285.0,180.0,290.0,360.0,425.0,425.0,225.0,25.0,45.0,175.0,285.0,415.0,120.0,115.0,120.0,120.0,120.0,115.0,120.0,0.0,0.0,95.0,170.0,280.0,415.0,205.0,205.0,205.0,105.0,280.0,10.0,10.0,0.0,30.0,15.0,250.0,30.0
Clyde River,0.0,0.0,90.7,0.0,20.0,370.0,0.0,,130.0,0.0,,30.0,175.0,100.0,0.0,115.0,0.0,650.0,0.0,,10.0,75.0,100.0,85.0,65.0,0.0,0.0,10.0,70.0,70.0,70.0,90.0,65.0,45.0,50.0,0.0,15.0,0.0,140.0,40.0,30.0,30.0,100.0,25.0,20.0,15.0,35.0,,55.0,10.0,0.0,0.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,330.0,330.0,33514.0,75471.0,49346.0,78258.0,25.6,31139.0,71921.0,4.2,38759.0,84457.0,57988.0,87281.0,100.0,245.0,325.0,76.0,35.8,190.0,45.0,130.0,95.0,410.0,80.0,190.0,35.0,105.0,135.0,40.0,80.0,17472.0,65664.0,30080.0,67456.0,22.0,12144.0,76672.0,17472.0,68736.0,31616.0,70016.0,45.0,30.0,270.0,640.0,635.0,505.0,505.0,150.0,620.0,615.0,530.0,530.0,1050.0,635.0,640.0,80.0,175.0,20.0,74.3,9.9,12.7,934,1053,0.0,250.0,1055.0,1055.0,10.0,680.0,0.0,1050.0,270.0,1055.0,215.0,240.0,200.0,100.0,1050.0,680.0,685.0,1050.0,1050.0,1050.0,680.0,430.0,250.0,250.0,1050.0,160.0,160.0,20.0,20.0,220.0,220.0,40.0,40.0,25.0,25.0,40.0,40.0,250.0,245.0,680.0,685.0,225.0,225.0,1055.0,1055.0,1055.0,395.0,680.0,430.0,65.0,0.0,235.0,680.0,430.0,685.0,925.0,1055.0,1050.0,395.0,35.0,85.0,250.0,685.0,1050.0,250.0,245.0,250.0,250.0,250.0,250.0,245.0,0.0,0.0,210.0,240.0,685.0,1055.0,415.0,410.0,410.0,270.0,680.0,0.0,10.0,0.0,165.0,40.2,505.0,180.0
Coral Harbour,0.0,33.3,82.9,0.0,20.0,340.0,0.0,,125.0,0.0,,30.0,165.0,105.0,0.0,95.0,0.0,515.0,0.0,,10.0,60.0,70.0,95.0,60.0,10.0,0.0,10.0,50.0,55.0,50.0,65.0,35.0,50.0,50.0,0.0,15.0,0.0,115.0,35.0,15.0,25.0,90.0,20.0,15.0,15.0,40.0,,60.0,10.0,0.0,10.0,10.0,5.0,0.0,5.0,0.0,0.0,0.0,300.0,300.0,49784.0,71927.0,47195.0,75369.0,25.0,32546.0,76785.0,4.0,58382.0,80919.0,55819.0,84413.0,100.0,230.0,275.0,78.0,41.8,220.0,60.0,55.0,75.0,340.0,30.0,165.0,70.0,70.0,90.0,50.0,40.0,42411.0,57216.0,42368.0,58240.0,20.8,12640.0,79360.0,46336.0,59008.0,46208.0,59392.0,20.0,40.0,210.0,515.0,515.0,425.0,425.0,95.0,495.0,490.0,435.0,430.0,890.0,515.0,515.0,35.0,165.0,25.0,77.3,6.5,6.8,834,891,25.0,220.0,890.0,890.0,0.0,550.0,0.0,890.0,210.0,890.0,205.0,225.0,150.0,100.0,895.0,550.0,550.0,895.0,890.0,890.0,550.0,350.0,220.0,225.0,890.0,130.0,135.0,15.0,10.0,190.0,190.0,40.0,45.0,25.0,30.0,40.0,40.0,220.0,225.0,550.0,550.0,190.0,195.0,890.0,890.0,890.0,365.0,550.0,355.0,60.0,0.0,220.0,550.0,355.0,550.0,765.0,895.0,890.0,365.0,45.0,70.0,225.0,550.0,890.0,220.0,220.0,220.0,225.0,220.0,220.0,220.0,10.0,0.0,175.0,220.0,550.0,895.0,340.0,340.0,340.0,210.0,550.0,10.0,5.0,0.0,110.0,32.4,425.0,125.0
