GEO_NAME,% of owner households spending 30% or more of its income on shelter costs,% of owner households with a mortgage,% of tenant households in subsidized housing,% of tenant households spending 30% or more of its income on shelter costs,0 Management occupations,0 to 14 years,0 to 17 years,0 to 17 years (%),0 to 4 years,0 to 5 years,0 to 5 years (%),"1 Business, finance and administration occupations",1 household maintainer,10 to 14 years,100 years and over,15 to 19 years,15 to 24 years,15 to 64 years,18 to 64 years,18 to 64 years (%),2 Natural and applied sciences and related occupations,2 household maintainers,20 to 24 years,25 to 29 years,25 to 34 years,25 to 44 years,3 Health occupations,3 or more household maintainers,30 to 34 years,35 to 39 years,35 to 44 years,"4 Occupations in education, law and social, community and government services",40 to 44 years,45 to 49 years,45 to 54 years,45 years and over,"5 Occupations in art, culture, recreation and sport",5 to 14 years,5 to 9 years,50 to 54 years,55 to 59 years,55 to 64 years,6 Sales and service occupations,60 to 64 years,65 to 69 years,65 to 74 years,65 years and over,65 years and over (%),"7 Trades, transport and equipment operators and related occupations",70 to 74 years,75 to 79 years,75 to 84 years,"8 Natural resources, agriculture and related production occupations",80 to 84 years,85 to 89 years,85 years and over,9 Occupations in manufacturing and utilities,90 to 94 years,95 to 99 years,All industry categories,All occupations,Average after-tax income in 2015 for persons aged 15 years and over not in economic families ($),Average after-tax income of households in 2015 ($),Average after-tax income of one-person households in 2015 ($),Average after-tax income of two-or-more-person households in 2015 ($),Average age of the population,Average employment income in 2015 among recipients ($),Average employment income in 2015 for full-year full-time workers ($),Average household size,Average total income in 2015 for persons aged 15 years and over not in economic families ($),Average total income of households in 2015 ($),Average total income of one-person households in 2015 ($),Average total income of two-or-more-person households in 2015 ($),Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 100% data,Employed,Employee,Employment income (%),Employment rate,In the bottom decile,In the eighth decile,In the fifth decile,In the fourth decile,In the labour force,In the ninth decile,In the second decile,In the seventh decile,In the sixth decile,In the third decile,In the top decile,Industry - NAICS2012 - not applicable,Median after-tax income in 2015 for persons aged 15 years and over not in economic families ($),Median after-tax income of households in 2015 ($),Median after-tax income of one-person households in 2015 ($),Median after-tax income of two-or-more-person households in 2015 ($),Median age of the population,Median employment income in 2015 among recipients ($),Median employment income in 2015 for full-year full-time workers ($),Median total income in 2015 for persons aged 15 years and over not in economic families ($),Median total income of households in 2015 ($),Median total income of one-person households in 2015 ($),Median total income of two-or-more-person households in 2015 ($),Multiple-census-family households,Non-census-family households,Not in the labour force,Number of after-tax income recipients aged 15 years and over in private households - 100% data,Number of after-tax income recipients aged 15 years and over in private households - 25% sample data,Number of employment income recipients aged 15 years and over in private households - 100% data,Number of employment income recipients aged 15 years and over in private households - 25% sample data,Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data,Number of government transfers recipients aged 15 years and over in private households - 100% data,Number of government transfers recipients aged 15 years and over in private households - 25% sample data,Number of market income recipients aged 15 years and over in private households - 100% data,Number of market income recipients aged 15 years and over in private households - 25% sample data,Number of persons in private households,Number of total income recipients aged 15 years and over in private households - 100% data,Number of total income recipients aged 15 years and over in private households - 25% sample data,Occupation - not applicable,One-census-family households,One-person households,Percentage with employment income,Population density per square kilometre,"Population percentage change, 2011 to 2016","Population, 2011","Population, 2016",Self-employed,"Total -  Owner and tenant households with household total income greater than zero, in non-farm, non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data",Total - Aboriginal ancestry for the population in private households - 25% sample data,Total - Aboriginal identity for the population in private households - 25% sample data,Total - Admission category and applicant type for the immigrant population in private households who landed between 1980 and 2016 - 25% sample data,Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,Total - Age at immigration for the immigrant population in private households - 25% sample data,Total - Age groups and average age of the population - 100% data,Total - Census families in private households by family size - 100% data,Total - Citizenship for the population in private households - 25% sample data,Total - Commuting destination for the employed labour force aged 15 years and over in private households with a usual place of work - 25% sample data,Total - Commuting duration for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,Total - Couple census families in private households - 100% data,Total - Distribution (%) of the population by broad age groups - 100% data,Total - Economic family income decile group for the population in private households - 100% data,Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,Total - Ethnic origin for the population in private households - 25% sample data,Total - First official language spoken for the total population excluding institutional residents - 100% data,Total - Generation status for the population in private households - 25% sample data,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data",Total - Household after-tax income groups in 2015 for private households - 100% data,Total - Household total income groups in 2015 for private households - 100% data,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Total - Income statistics in 2015 for couple economic families with children in private households - 100% data,Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data,Total - Income statistics in 2015 for economic families in private households - 100% data,Total - Income statistics in 2015 for economic families in private households - 25% sample data,Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data,Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data,Total - Income statistics in 2015 for one-person private households - 100% data,Total - Income statistics in 2015 for one-person private households - 25% sample data,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,Total - Income statistics in 2015 for private households by household size - 100% data,Total - Income statistics in 2015 for private households by household size - 25% sample data,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,Total - Income statistics in 2015 for two-or-more-person private households - 100% data,Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data,Total - Knowledge of languages for the population in private households - 25% sample data,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,Total - Language spoken most often at home for the total population excluding institutional residents - 100% data,"Total - Language used most often at work for the population in private households aged 15 years and over who worked since January 1, 2015 - 25% sample data",Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 15 years and over in private households - 25% sample data,Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 25 to 64 years in private households - 25% sample data,Total - Lone-parent census families in private households - 100% data,Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,Total - Main mode of commuting for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 15 years and over in private households - 25% sample data,Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 25 to 64 years in private households - 25% sample data,Total - Marital status for the population aged 15 years and over - 100% data,Total - Mobility status 5 years ago - 25% sample data,Total - Mother tongue for the total population excluding institutional residents - 100% data,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data,"Total - Other language(s) used regularly at work for the population in private households aged 15 years and over who worked since January 1, 2015 - 25% Sample Data","Total - Owner households in non-farm, non-reserve private dwellings - 25% sample data",Total - Persons not in census families in private households - 100% data,Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,Total - Population aged 15 years and over by Labour force status - 25% sample data,Total - Population by Registered or Treaty Indian status for the population in private households - 25% sample data,Total - Private households by age of primary household maintainers - 25% sample data,Total - Private households by household size - 100% data,Total - Private households by household type - 100% data,Total - Private households by housing suitability - 25% sample data,Total - Private households by number of household maintainers - 25% sample data,Total - Private households by number of persons per room - 25% sample data,Total - Private households by tenure - 25% sample data,Total - Selected places of birth for the immigrant population in private households - 25% sample data,Total - Selected places of birth for the recent immigrant population in private households - 25% sample data,"Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data",Total - Time leaving for work for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,Total - Visible minority for the population in private households - 25% sample data,Total Labour Force population aged 15 years and over by Industry - North American Industry Classification System (NAICS) 2012 - 25% sample data,Total labour force aged 15 years and over by class of worker - 25% sample data,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2016 - 25% sample data,Total number of census families in private households - 100% data,Total population aged 15 years and over by work activity during the reference year - 25% sample data,Total visible minority population,Two-or-more person non-census-family households,Under 5 years,Unemployed,Unemployment rate,With employment income,Without employment income
Beaver Creek,,0.0,0.0,,10.0,15.0,,,5.0,,,15.0,30.0,5.0,0.0,0.0,10.0,65.0,,,0.0,10.0,5.0,10.0,15.0,10.0,0.0,0.0,10.0,5.0,10.0,15.0,5.0,5.0,10.0,0.0,10.0,10.0,5.0,10.0,10.0,10.0,0.0,5.0,5.0,0.0,15.0,,10.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,5.0,0.0,65.0,65.0,,,,,40.3,,,2.1,,,,,,55.0,65.0,,73.3,,,,,65.0,,,,,,,0.0,,78933.0,,,38.2,,,,85760.0,,,0.0,20.0,10.0,,,,,,,,,,85.0,,,0.0,20.0,15.0,,3.4,-9.7,103,93,10.0,,85.0,85.0,10.0,,0.0,95.0,20.0,85.0,50.0,55.0,20.0,100.0,,,,85.0,90.0,85.0,70.0,55.0,,,85.0,,,,,,,,,,,,,40.0,,70.0,70.0,,,85.0,95.0,90.0,65.0,70.0,60.0,0.0,,50.0,70.0,55.0,75.0,80.0,95.0,90.0,65.0,0.0,25.0,50.0,75.0,85.0,45.0,40.0,45.0,40.0,40.0,40.0,40.0,10.0,0.0,15.0,50.0,,85.0,65.0,65.0,65.0,25.0,70.0,10.0,5.0,0.0,10.0,15.4,,
Burwash Landing,,0.0,0.0,,10.0,10.0,,,0.0,,,10.0,40.0,0.0,0.0,0.0,0.0,55.0,,,0.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,5.0,10.0,0.0,15.0,5.0,5.0,10.0,0.0,0.0,0.0,5.0,15.0,5.0,15.0,0.0,5.0,5.0,10.0,5.0,,15.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,55.0,60.0,,,,,47.3,,,1.5,,,,,,50.0,55.0,,76.9,,,,,55.0,,,,,,,0.0,,51499.0,,,50.7,,,,61995.0,,,0.0,25.0,10.0,,,,,,,,,,70.0,,,0.0,20.0,30.0,,2.4,-24.2,95,72,0.0,,70.0,70.0,0.0,,10.0,75.0,15.0,75.0,45.0,50.0,15.0,100.0,,,,70.0,75.0,70.0,65.0,55.0,,,70.0,,,,,,,,,,,,,50.0,,65.0,65.0,,,75.0,70.0,70.0,60.0,65.0,55.0,5.0,,50.0,65.0,55.0,65.0,70.0,70.0,70.0,55.0,0.0,25.0,50.0,65.0,75.0,50.0,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,10.0,50.0,,70.0,55.0,55.0,60.0,20.0,65.0,10.0,0.0,0.0,0.0,0.0,,
Carcross,10.5,26.3,37.5,37.5,20.0,50.0,0.0,,15.0,0.0,,20.0,105.0,10.0,0.0,10.0,10.0,195.0,0.0,,10.0,45.0,10.0,15.0,20.0,15.0,0.0,0.0,25.0,10.0,15.0,45.0,25.0,15.0,30.0,0.0,10.0,0.0,25.0,25.0,30.0,40.0,35.0,25.0,25.0,25.0,55.0,,30.0,20.0,10.0,15.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,35161.0,60854.0,36461.0,76496.0,43.4,37504.0,59571.0,2.0,40000.0,69938.0,41582.0,88122.0,100.0,130.0,155.0,70.1,52.0,35.0,30.0,20.0,30.0,180.0,25.0,50.0,20.0,20.0,30.0,35.0,0.0,26304.0,49216.0,28224.0,65408.0,46.5,29152.0,53632.0,26304.0,54848.0,31808.0,71680.0,5.0,65.0,75.0,245.0,245.0,190.0,195.0,65.0,190.0,185.0,220.0,220.0,300.0,240.0,245.0,10.0,85.0,60.0,76.0,18.7,4.2,289,301,25.0,135.0,300.0,300.0,10.0,250.0,20.0,300.0,90.0,300.0,85.0,115.0,65.0,100.0,300.0,250.0,250.0,300.0,300.0,300.0,250.0,170.0,150.0,155.0,300.0,15.0,15.0,45.0,40.0,85.0,90.0,25.0,25.0,55.0,55.0,70.0,70.0,155.0,150.0,250.0,250.0,90.0,95.0,300.0,305.0,300.0,195.0,250.0,175.0,30.0,0.0,115.0,250.0,170.0,250.0,285.0,300.0,305.0,190.0,95.0,75.0,130.0,250.0,300.0,150.0,150.0,150.0,150.0,150.0,150.0,155.0,20.0,0.0,45.0,115.0,250.0,300.0,180.0,180.0,180.0,90.0,250.0,20.0,5.0,10.0,50.0,27.8,190.0,55.0
Carcross 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.3,-34.0,53,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carmacks,0.0,53.8,70.0,0.0,30.0,120.0,0.0,,35.0,0.0,,30.0,145.0,45.0,0.0,35.0,10.0,325.0,0.0,,10.0,60.0,20.0,35.0,25.0,15.0,10.0,0.0,25.0,30.0,45.0,60.0,35.0,30.0,35.0,0.0,0.0,10.0,40.0,30.0,45.0,55.0,35.0,40.0,15.0,20.0,50.0,,35.0,10.0,10.0,10.0,10.0,5.0,0.0,5.0,0.0,0.0,0.0,210.0,215.0,37674.0,62960.0,38352.0,76885.0,36.6,36842.0,60755.0,2.4,43780.0,73192.0,44625.0,89358.0,100.0,185.0,205.0,81.0,51.4,45.0,60.0,50.0,60.0,220.0,40.0,65.0,25.0,50.0,60.0,25.0,10.0,29024.0,54187.0,31040.0,70912.0,36.7,25792.0,58368.0,31936.0,61824.0,34368.0,79104.0,0.0,80.0,145.0,355.0,355.0,325.0,320.0,140.0,250.0,255.0,330.0,330.0,485.0,355.0,355.0,10.0,120.0,75.0,87.7,13.3,-2.0,503,493,10.0,115.0,480.0,480.0,20.0,365.0,25.0,490.0,125.0,480.0,140.0,185.0,95.0,100.0,480.0,365.0,360.0,480.0,490.0,480.0,365.0,265.0,200.0,205.0,480.0,55.0,55.0,40.0,40.0,130.0,130.0,30.0,25.0,75.0,75.0,75.0,75.0,205.0,205.0,365.0,360.0,130.0,130.0,480.0,495.0,495.0,250.0,365.0,260.0,30.0,0.0,185.0,365.0,260.0,375.0,450.0,495.0,490.0,250.0,70.0,95.0,185.0,360.0,480.0,205.0,200.0,200.0,205.0,200.0,200.0,200.0,25.0,10.0,50.0,185.0,365.0,480.0,220.0,220.0,220.0,125.0,365.0,25.0,5.0,0.0,35.0,15.9,320.0,40.0
Champagne Landing 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,-20.0,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dawson,17.7,50.0,48.6,12.2,95.0,220.0,0.0,,85.0,0.0,,115.0,510.0,65.0,0.0,55.0,25.0,1010.0,0.0,,30.0,160.0,80.0,100.0,85.0,70.0,25.0,10.0,120.0,125.0,155.0,135.0,95.0,105.0,135.0,10.0,50.0,50.0,70.0,115.0,115.0,185.0,205.0,105.0,55.0,80.0,145.0,,170.0,40.0,30.0,10.0,45.0,5.0,5.0,10.0,20.0,0.0,0.0,880.0,880.0,39351.0,64908.0,41827.0,85307.0,39.5,43963.0,64169.0,2.0,45099.0,74609.0,48205.0,97945.0,100.0,785.0,735.0,80.3,71.0,105.0,135.0,120.0,115.0,880.0,175.0,105.0,150.0,160.0,120.0,165.0,0.0,33920.0,60416.0,35840.0,82944.0,39.7,36704.0,63549.0,37504.0,68608.0,40064.0,97280.0,5.0,340.0,225.0,1105.0,1070.0,990.0,970.0,335.0,725.0,710.0,1070.0,1035.0,1345.0,1105.0,1070.0,0.0,335.0,305.0,87.6,42.4,4.2,1319,1375,145.0,680.0,1340.0,1335.0,125.0,1130.0,165.0,1375.0,345.0,1340.0,610.0,705.0,275.0,100.0,1345.0,1130.0,1105.0,1340.0,1365.0,1340.0,1105.0,835.0,680.0,675.0,1335.0,125.0,100.0,145.0,145.0,350.0,345.0,70.0,95.0,305.0,320.0,375.0,400.0,680.0,680.0,1130.0,1105.0,370.0,360.0,1335.0,1365.0,1370.0,980.0,1105.0,840.0,70.0,0.0,705.0,1105.0,835.0,1155.0,1245.0,1370.0,1365.0,980.0,310.0,405.0,785.0,1105.0,1340.0,680.0,680.0,675.0,685.0,680.0,680.0,680.0,165.0,65.0,370.0,700.0,1130.0,1340.0,880.0,880.0,880.0,345.0,1105.0,90.0,30.0,10.0,95.0,10.8,990.0,140.0
Destruction Bay,,0.0,0.0,,10.0,5.0,,,0.0,,,0.0,10.0,0.0,0.0,0.0,0.0,40.0,,,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,5.0,5.0,10.0,0.0,0.0,0.0,0.0,10.0,5.0,10.0,10.0,5.0,5.0,0.0,10.0,,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,,,,,45.6,,,2.2,,,,,,25.0,25.0,,62.5,,,,,30.0,,,,,,,0.0,,55808.0,,,50.5,,,,58624.0,,,0.0,10.0,10.0,,,,,,,,,,45.0,,,0.0,15.0,5.0,,4.1,57.1,35,55,10.0,,45.0,45.0,0.0,,0.0,50.0,15.0,45.0,20.0,25.0,15.0,100.0,,,,45.0,50.0,45.0,40.0,30.0,,,50.0,,,,,,,,,,,,,20.0,,40.0,40.0,,,45.0,50.0,55.0,35.0,40.0,30.0,0.0,,20.0,45.0,25.0,50.0,45.0,55.0,55.0,35.0,15.0,10.0,25.0,40.0,45.0,20.0,20.0,20.0,20.0,25.0,20.0,20.0,0.0,0.0,0.0,25.0,,45.0,30.0,30.0,30.0,10.0,45.0,10.0,0.0,0.0,10.0,33.3,,
Faro,9.1,28.6,30.8,21.4,25.0,60.0,0.0,,20.0,0.0,,25.0,105.0,15.0,0.0,10.0,10.0,235.0,0.0,,10.0,70.0,10.0,15.0,30.0,25.0,10.0,0.0,30.0,25.0,25.0,30.0,25.0,10.0,25.0,10.0,0.0,15.0,25.0,20.0,55.0,65.0,30.0,35.0,15.0,20.0,55.0,,30.0,10.0,10.0,15.0,10.0,5.0,5.0,0.0,15.0,0.0,0.0,180.0,180.0,46854.0,62904.0,48209.0,71748.0,43.2,45252.0,68350.0,2.0,54836.0,73060.0,56541.0,83001.0,100.0,150.0,170.0,77.3,51.7,55.0,35.0,35.0,20.0,190.0,45.0,45.0,30.0,35.0,20.0,20.0,10.0,42496.0,56533.0,41344.0,68352.0,47.0,37760.0,68864.0,43776.0,62165.0,43712.0,76032.0,0.0,65.0,100.0,275.0,280.0,215.0,215.0,85.0,195.0,195.0,250.0,250.0,345.0,280.0,275.0,10.0,105.0,65.0,77.2,1.7,1.2,344,348,10.0,175.0,350.0,350.0,30.0,285.0,50.0,350.0,105.0,345.0,115.0,140.0,90.0,100.0,350.0,285.0,290.0,350.0,350.0,345.0,285.0,220.0,175.0,175.0,350.0,30.0,30.0,60.0,60.0,105.0,105.0,15.0,15.0,65.0,65.0,70.0,70.0,170.0,170.0,285.0,285.0,110.0,110.0,350.0,345.0,350.0,210.0,285.0,215.0,15.0,0.0,140.0,285.0,215.0,285.0,330.0,345.0,350.0,210.0,110.0,75.0,150.0,290.0,345.0,175.0,170.0,175.0,170.0,170.0,175.0,175.0,50.0,10.0,70.0,140.0,290.0,345.0,185.0,185.0,185.0,105.0,285.0,20.0,5.0,0.0,40.0,21.1,220.0,70.0
Haines Junction,12.9,54.8,19.0,13.6,40.0,120.0,0.0,,40.0,0.0,,40.0,185.0,40.0,0.0,30.0,10.0,400.0,0.0,,25.0,85.0,35.0,35.0,35.0,20.0,15.0,0.0,35.0,40.0,45.0,55.0,45.0,45.0,60.0,10.0,10.0,10.0,40.0,45.0,60.0,60.0,70.0,40.0,35.0,40.0,90.0,,60.0,30.0,10.0,15.0,15.0,10.0,0.0,10.0,0.0,0.0,0.0,325.0,325.0,36582.0,67350.0,37273.0,84078.0,40.0,39978.0,64495.0,2.2,41576.0,77185.0,42590.0,96426.0,100.0,285.0,285.0,71.4,58.2,60.0,95.0,50.0,40.0,335.0,80.0,70.0,70.0,60.0,45.0,35.0,0.0,30464.0,62400.0,29920.0,84736.0,41.2,29760.0,64640.0,31872.0,69824.0,31040.0,95232.0,5.0,100.0,155.0,470.0,470.0,380.0,385.0,150.0,335.0,335.0,440.0,440.0,605.0,475.0,470.0,10.0,170.0,100.0,79.4,17.8,3.4,593,613,35.0,260.0,610.0,605.0,35.0,485.0,65.0,615.0,175.0,605.0,220.0,260.0,145.0,100.0,605.0,485.0,485.0,605.0,615.0,605.0,485.0,335.0,280.0,275.0,605.0,70.0,70.0,70.0,70.0,175.0,170.0,35.0,30.0,100.0,100.0,110.0,110.0,280.0,280.0,490.0,485.0,175.0,175.0,610.0,615.0,615.0,360.0,490.0,335.0,30.0,0.0,265.0,485.0,335.0,490.0,565.0,615.0,610.0,360.0,155.0,120.0,285.0,490.0,605.0,280.0,280.0,275.0,275.0,275.0,275.0,275.0,60.0,10.0,110.0,265.0,485.0,605.0,335.0,335.0,335.0,175.0,485.0,15.0,5.0,10.0,50.0,14.9,385.0,100.0
