GEO_NAME,"% of households living in a dwelling provided by the local government, First Nation or Indian band spending more than 30% on shelter costs",% of owner households spending 30% or more of its income on shelter costs,% of owner households with a mortgage,% of tenant households in subsidized housing,% of tenant households spending 30% or more of its income on shelter costs,0 Legislative and senior management occupations,0 to 14 years,0 to 17 years,0 to 17 years (%),0 to 4 years,0 to 5 years,0 to 5 years (%),"1 Business, finance and administration occupations",10 to 14 years,100 years and over,15 to 19 years,15 to 24 years,15 to 64 years,18 to 64 years,18 to 64 years (%),2 Natural and applied sciences and related occupations,20 to 24 years,25 to 29 years,25 to 34 years,25 to 44 years,3 Health occupations,30 to 34 years,35 to 39 years,35 to 44 years,"4 Occupations in education, law and social, community and government services",40 to 44 years,45 to 49 years,45 to 54 years,45 years and over,"5 Occupations in art, culture, recreation and sport",5 to 14 years,5 to 9 years,50 to 54 years,55 to 59 years,55 to 64 years,6 Sales and service occupations,60 to 64 years,65 to 69 years,65 to 74 years,65 years and over,65 years and over (%),"7 Trades, transport and equipment operators and related occupations",70 to 74 years,75 to 79 years,75 to 84 years,"8 Natural resources, agriculture and related production occupations",80 to 84 years,85 to 89 years,85 years and over,9 Occupations in manufacturing and utilities,90 to 94 years,95 to 99 years,All occupations,Average after-tax income of household in 2020 ($),Average after-tax income of one-person households in 2020 ($),Average after-tax income of two-or-more-person households in 2020 ($),Average age of the population,Average employment income in 2019 among recipients ($),Average employment income in 2019 for full-year full-time workers in 2020 ($),Average employment income in 2019 of those who worked part-year or part-time in 2020 ($),Average employment income in 2020 among recipients ($),Average employment income in 2020 for full-year full-time workers in 2020 ($),Average employment income in 2020 of those who worked part-year or part-time in 2020 ($),Average employment insurance benefits in 2019 among recipients ($),Average employment insurance benefits in 2020 among recipients ($),Average household size,Average total income of household in 2020 ($),Average total income of one-person households in 2020 ($),Average total income of two-or-more-person households in 2020 ($),Composition of total income in 2019 of the population aged 15 years and over in private households (%) - 25% sample data,Composition of total income in 2020 of the population aged 15 years and over in private households (%) - 25% sample data,Couple-family households,Employed,Employee,Employment income (%),Employment insurance benefits (%),Employment rate,Gini index on adjusted household after-tax income,Gini index on adjusted household market income,Gini index on adjusted household total income,In bottom decile,In eighth decile,In fifth decile,In fourth decile,In ninth decile,In second decile,In seventh decile,In sixth decile,In the labour force,In third decile,In top decile,Industry - not applicable,Median after-tax income of household in 2020 ($),Median after-tax income of one-person households in 2020 ($),Median after-tax income of two-or-more-person households in 2020 ($),Median age of the population,Median employment income in 2019 among recipients ($),Median employment income in 2019 for full-year full-time workers in 2020 ($),Median employment income in 2019 of those who worked part-year or part-time in 2020 ($),Median employment income in 2020 among recipients ($),Median employment income in 2020 for full-year full-time workers in 2020 ($),Median employment income in 2020 of those who worked part-year or part-time in 2020 ($),Median employment insurance benefits in 2019 among recipients ($),Median employment insurance benefits in 2020 among recipients ($),Median total income of household in 2020 ($),Median total income of one-person households in 2020 ($),Median total income of two-or-more-person households in 2020 ($),Multigenerational households,Multiple-census-family households,Not in the labour force,Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data,Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,Number of after-tax income recipients aged 15 years and over in private households in 2019 - 100% data,Number of after-tax income recipients aged 15 years and over in private households in 2019 - 25% sample data,Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data,Number of after-tax income recipients aged 15 years and over in private households in 2020 - 25% sample data,Number of employment income recipients aged 15 years and over in private households in 2019 - 100% data,Number of employment income recipients aged 15 years and over in private households in 2019 - 25% sample data,Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data,Number of employment income recipients aged 15 years and over in private households in 2020 - 25% sample data,Number of employment income recipients in 2019 who worked full-year full-time in 2020 - 25% sample data,Number of employment income recipients in 2019 who worked part-year or part-time in 2020 - 25% sample data,Number of employment income recipients in 2020 who worked full-year full-time in 2020 - 25% sample data,Number of employment income recipients in 2020 who worked part-year or part-time in 2020 - 25% sample data,Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 - 25% sample data,Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 -100% data,Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data,Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,Number of government transfers recipients aged 15 years and over in private households in 2019 - 100% data,Number of government transfers recipients aged 15 years and over in private households in 2019 - 25% sample data,Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data,Number of government transfers recipients aged 15 years and over in private households in 2020 - 25% sample data,Number of market income recipients aged 15 years and over in private households in 2019 - 100% data,Number of market income recipients aged 15 years and over in private households in 2019 - 25% sample data,Number of market income recipients aged 15 years and over in private households in 2020 - 100% data,Number of market income recipients aged 15 years and over in private households in 2020 - 25% sample data,Number of persons in private households,Number of total income recipients aged 15 years and over in private households in 2019 - 100% data,Number of total income recipients aged 15 years and over in private households in 2019 - 25% sample data,Number of total income recipients aged 15 years and over in private households in 2020 - 100% data,Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data,Occupation - not applicable,One-census-family households with additional persons,One-census-family households without additional persons,One-maintainer household,One-parent-family households,One-person households,P90/P10 ratio on adjusted household after-tax income,Population density per square kilometre,"Population percentage change, 2016 to 2021","Population, 2016","Population, 2021",Self-employed,Three-or-more-maintainer household,Total - Adjusted after-tax economic family income decile group for the population in private households - 100% data,Total - Admission category and applicant type for the immigrant population in private households who were admitted between 1980 and 2021 - 25% sample data,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,Total - Age at immigration for the immigrant population in private households - 25% sample data,Total - Age groups of the population - 100% data,Total - All languages spoken at home for the total population excluding institutional residents - 100% data,"Total - All languages used at work for the population in private households aged 15 years and over who worked since January 1, 2020 - 25% sample data",Total - Census families in private households by family size - 100% data,Total - Citizenship for the population in private households - 25% sample data,Total - Commuting destination for the employed labour force aged 15 years and over with a usual place of work - 25% sample data,Total - Commuting duration for the employed labour force aged 15 years and over with a usual place of work or no fixed workplace address - 25% sample data,Total - Distribution (%) of the population by broad age groups - 100% data,"Total - Eligibility and instruction in the minority official language, for the population in private households born between 2003 and 2015 (inclusive) - 100% data",Total - Eligibility for instruction in the minority official language for the population in private households born in 2003 or later - 100% data,Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 100% data,Total - Employment income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data,Total - Employment income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,Total - Ethnic or cultural origin for the population in private households - 25% sample data,Total - First official language spoken for the total population excluding institutional residents - 100% data,Total - Generation status for the population in private households - 25% sample data,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data",Total - Household after-tax income groups in 2020 for private households - 100% data,Total - Household total income groups in 2020 for private households - 100% data,Total - Household type - 100% data,Total - Households 'spending 30% or more of income on shelter costs' or 'not suitable' or 'major repairs needed',"Total - Households living in a dwelling provided by the local government, First Nation or Indian band in non-farm private dwellings - 25% sample data",Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Total - Income statistics for couple-only economic families in private households - 100% data,Total - Income statistics for couple-only economic families in private households - 25% sample data,Total - Income statistics for couple-with-children economic families in private households - 100% data,Total - Income statistics for couple-with-children economic families in private households - 25% sample data,Total - Income statistics for economic families in private households - 100% data,Total - Income statistics for economic families in private households - 25% sample data,Total - Income statistics for one-parent economic families in private households - 100% data,Total - Income statistics for one-parent economic families in private households - 25% sample data,Total - Income statistics for one-person private households - 100% data,Total - Income statistics for one-person private households - 25% sample data,Total - Income statistics for persons aged 15 years and over not in economic families in private households - 100% data,Total - Income statistics for persons aged 15 years and over not in economic families in private households - 25% sample data,Total - Income statistics for private households - 100% data,Total - Income statistics for private households - 25% sample data,Total - Income statistics for two-or-more-persons private households - 100% data,Total - Income statistics for two-or-more-persons private households - 25% sample data,Total - Income statistics in 2019 for the population aged 15 years and over in private households - 100% data,Total - Income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,Total - Indigenous ancestry for the population in private households - 25% sample data,Total - Indigenous identity for the population in private households - 25% sample data,Total - Inequality measures for the population in private households - 100% data,Total - Knowledge of languages for the population in private households - 25% sample data,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,Total - LICO low-income status in 2020 for the population in private households to whom the low-income concept is applicable - 100% data,Total - LIM low-income status in 2020 for the population in private households - 100% data,Total - Labour force aged 15 years and over by class of worker including job permanency - 25% sample data,Total - Labour force aged 15 years and over by industry - Sectors - North American Industry Classification System (NAICS) 2017 - 25% sample data,Total - Labour force aged 15 years and over by occupation - Broad category - National Occupational Classification (NOC) 2021 - 25% sample data,Total - Language spoken most often at home for the total population excluding institutional residents - 100% data,"Total - Language used most often at work for the population aged 15 years and over who worked since January 1, 2020, in private households, 2021 Census - 25% sample data",Total - Location of study compared with province or territory of residence for the population aged 25 to 64 years in private households - 25% sample data,Total - Main mode of commuting for the employed labour force aged 15 years and over with a usual place of work or no fixed workplace address - 25% sample data,Total - Major field of study - Classification of Instructional Programs (CIP) 2021 for the population aged 15 years and over in private households - 25% sample data,Total - Major field of study - Classification of Instructional Programs (CIP) 2021 for the population aged 25 to 64 years in private households - 25% sample data,Total - Marital status for the total population aged 15 years and over - 100% data,Total - Mobility status 5 years ago - 25% sample data,Total - Mother tongue for the total population excluding institutional residents - 100% data,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data,"Total - Other language(s) used regularly at work for the population in private households aged 15 years and over who worked since January 1, 2020 - 25% sample data","Total - Owner and tenant households with household total income greater than zero and shelter-cost-to-income ratio less than 100%, in non-farm, non-reserve private dwellings - 25% sample data","Total - Owner and tenant households with household total income greater than zero, in non-farm, non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data","Total - Owner households in non-farm, non-reserve private dwellings - 25% sample data",Total - Persons in private households - 100% data,Total - Persons not in census families in private households - 100% data,Total - Place of birth for the immigrant population in private households - 25% sample data,Total - Place of birth for the recent immigrant population in private households - 25% sample data,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,Total - Population aged 15 years and over by labour force status - 25% sample data,Total - Population aged 15 years and over by work activity during the reference year - 25% sample data,Total - Pre-admission experience for the immigrant population in private households who were admitted between 1980 and 2021 - 25% sample data,Total - Private households by age of primary household maintainers - 25% sample data,Total - Private households by household size - 100% data,Total - Private households by housing suitability - 25% sample data,Total - Private households by number of household maintainers - 25% sample data,Total - Private households by number of persons per room - 25% sample data,Total - Private households by tenure - 25% sample data,Total - Registered or Treaty Indian status for the population in private households - 25% sample data,Total - Religion for the population in private households - 25% sample data,Total - Secondary (high) school diploma or equivalency certificate for the population aged 15 years and over in private households - 25% sample data,Total - Secondary (high) school diploma or equivalency certificate for the population aged 25 to 64 years in private households - 25% sample data,"Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data",Total - Time leaving for work for the employed labour force aged 15 years and over with a usual place of work or no fixed workplace address - 25% sample data,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,Total - Visible minority for the population in private households - 25% sample data,Total number of census families in private households - 100% data,Total visible minority population,Two-maintainer household,Two-or-more-person non-census-family households,Under 5 years,Unemployed,Unemployment rate,With employment income,Without employment income
Beaver Creek,,,100.0,100.0,,0.0,5.0,,,5.0,,,0.0,0.0,0.0,0.0,0.0,60.0,,,0.0,5.0,10.0,10.0,10.0,0.0,10.0,5.0,10.0,30.0,5.0,10.0,10.0,0.0,0.0,10.0,0.0,5.0,10.0,0.0,10.0,0.0,5.0,10.0,10.0,,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,55.0,,,,42.0,,,,,,,,,1.8,,,,,,20.0,45.0,55.0,,,75.0,,,,,,,,,,,,55.0,,,0.0,,,,42.8,,,,,,,,,,,,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,0.0,0.0,20.0,30.0,0.0,20.0,,2.9,-16.1,93.0,78.0,10.0,0.0,,0.0,,10.0,80.0,75.0,55.0,20.0,70.0,35.0,45.0,100.0,0.0,10.0,,65.0,65.0,75.0,75.0,75.0,60.0,50.0,,,40.0,10.0,20.0,70.0,,,,,,,,,,,20.0,20.0,,,,,65.0,60.0,65.0,60.0,70.0,75.0,,75.0,75.0,,,55.0,55.0,55.0,75.0,55.0,50.0,45.0,65.0,50.0,70.0,65.0,75.0,80.0,55.0,,,10.0,70.0,20.0,10.0,0.0,45.0,60.0,65.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,75.0,70.0,65.0,50.0,10.0,45.0,,75.0,20.0,10.0,10.0,0.0,0.0,10.0,18.2,,
Burwash Landing,,,,0.0,,0.0,5.0,,,0.0,,,10.0,0.0,0.0,0.0,0.0,50.0,,,0.0,0.0,5.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0,5.0,10.0,10.0,0.0,10.0,0.0,0.0,5.0,5.0,15.0,0.0,10.0,5.0,10.0,15.0,,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,,,,47.0,,,,,,,,,1.5,,,,,,10.0,35.0,40.0,,,58.3,,,,,,,,,,,,45.0,,,0.0,,,,47.2,,,,,,,,,,,,0.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,0.0,0.0,15.0,35.0,5.0,25.0,,2.1,-11.1,72.0,64.0,0.0,0.0,,0.0,,0.0,65.0,65.0,45.0,15.0,65.0,30.0,30.0,100.0,5.0,5.0,,60.0,60.0,65.0,65.0,65.0,60.0,45.0,,,45.0,15.0,35.0,65.0,,,,,,,,,,,30.0,35.0,,,,,60.0,65.0,60.0,65.0,65.0,65.0,,65.0,65.0,,,45.0,45.0,45.0,65.0,45.0,45.0,30.0,60.0,45.0,60.0,65.0,65.0,65.0,45.0,,,0.0,65.0,30.0,0.0,0.0,35.0,60.0,60.0,0.0,40.0,45.0,40.0,40.0,40.0,40.0,65.0,65.0,65.0,45.0,10.0,30.0,,65.0,15.0,0.0,10.0,0.0,0.0,10.0,22.2,,
Carcross,,11.8,35.3,33.3,11.8,0.0,45.0,55.0,,15.0,20.0,,15.0,20.0,0.0,15.0,0.0,210.0,195.0,8.0,10.0,10.0,15.0,20.0,0.0,10.0,15.0,25.0,25.0,25.0,15.0,30.0,40.0,0.0,0.0,0.0,10.0,25.0,25.0,35.0,25.0,30.0,25.0,30.0,65.0,20.0,20.0,25.0,15.0,15.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,125.0,72000.0,44000.0,94000.0,45.0,44800.0,72000.0,42000.0,43600.0,76000.0,36000.0,8000.0,11000.0,1.9,83000.0,50000.0,108000.0,100.0,100.0,60.0,110.0,110.0,64.0,2.8,40.0,0.28,0.48,0.316,25.0,30.0,40.0,35.0,30.0,40.0,30.0,30.0,125.0,30.0,30.0,0.0,62000.0,38000.0,85000.0,48.4,36800.0,69500.0,30600.0,31400.0,71000.0,17600.0,6850.0,11900.0,66500.0,39600.0,92000.0,0.0,0.0,145.0,95.0,90.0,260.0,265.0,265.0,265.0,210.0,210.0,205.0,205.0,55.0,65.0,55.0,70.0,40.0,35.0,40.0,35.0,215.0,215.0,240.0,240.0,245.0,240.0,235.0,240.0,315.0,260.0,265.0,265.0,265.0,0.0,0.0,80.0,120.0,25.0,75.0,3.6,20.4,5.3,301.0,317.0,15.0,0.0,320.0,10.0,270.0,15.0,315.0,320.0,145.0,85.0,320.0,90.0,100.0,100.0,40.0,55.0,270.0,270.0,270.0,320.0,320.0,315.0,275.0,180.0,170.0,170.0,170.0,85.0,0.0,320.0,45.0,40.0,20.0,20.0,95.0,90.0,25.0,25.0,75.0,75.0,80.0,80.0,170.0,170.0,95.0,95.0,270.0,270.0,270.0,270.0,315.0,315.0,315.0,315.0,320.0,0.0,320.0,125.0,125.0,125.0,320.0,145.0,180.0,100.0,270.0,180.0,270.0,300.0,320.0,315.0,145.0,165.0,170.0,85.0,315.0,95.0,15.0,0.0,110.0,275.0,270.0,10.0,165.0,170.0,165.0,165.0,165.0,165.0,315.0,315.0,270.0,185.0,90.0,100.0,270.0,315.0,85.0,10.0,45.0,10.0,0.0,20.0,16.0,205.0,70.0
Carcross 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.1,5.7,35.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carmacks,0.0,9.5,28.6,42.1,10.5,0.0,130.0,150.0,16.0,40.0,45.0,20.0,50.0,50.0,0.0,45.0,15.0,385.0,345.0,11.6,10.0,40.0,25.0,35.0,25.0,10.0,40.0,30.0,50.0,80.0,45.0,30.0,40.0,0.0,0.0,0.0,45.0,35.0,45.0,60.0,50.0,50.0,35.0,50.0,80.0,24.0,55.0,25.0,10.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,285.0,81000.0,53000.0,102000.0,37.8,44000.0,77000.0,32500.0,50600.0,88000.0,32000.0,7000.0,7400.0,2.2,95000.0,62000.0,118000.0,100.0,100.0,80.0,245.0,265.0,75.0,1.9,54.4,0.291,0.468,0.326,65.0,40.0,50.0,50.0,45.0,60.0,55.0,70.0,300.0,55.0,80.0,15.0,74500.0,44800.0,91000.0,38.0,34800.0,76000.0,25400.0,37600.0,85000.0,23400.0,5400.0,5760.0,82000.0,47600.0,104000.0,5.0,0.0,150.0,145.0,145.0,440.0,440.0,430.0,430.0,390.0,390.0,370.0,370.0,150.0,120.0,150.0,125.0,65.0,65.0,65.0,70.0,355.0,350.0,385.0,380.0,400.0,400.0,390.0,390.0,575.0,440.0,440.0,430.0,430.0,15.0,10.0,125.0,200.0,50.0,115.0,4.4,15.9,19.3,493.0,588.0,20.0,0.0,580.0,30.0,445.0,35.0,590.0,590.0,335.0,145.0,575.0,200.0,235.0,100.0,115.0,155.0,445.0,450.0,450.0,580.0,590.0,575.0,450.0,295.0,260.0,260.0,265.0,95.0,65.0,575.0,35.0,35.0,55.0,55.0,145.0,150.0,50.0,55.0,115.0,110.0,125.0,125.0,260.0,265.0,150.0,150.0,450.0,450.0,450.0,450.0,575.0,575.0,575.0,580.0,590.0,0.0,580.0,295.0,295.0,295.0,590.0,335.0,295.0,235.0,450.0,295.0,460.0,535.0,590.0,590.0,335.0,200.0,200.0,105.0,575.0,150.0,35.0,0.0,245.0,450.0,450.0,30.0,265.0,260.0,265.0,265.0,265.0,265.0,575.0,575.0,450.0,290.0,95.0,235.0,445.0,575.0,150.0,35.0,65.0,10.0,10.0,50.0,16.7,365.0,80.0
Champagne Landing 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,10.0,20.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dawson,,21.3,61.3,37.7,22.1,20.0,240.0,280.0,6.0,75.0,95.0,8.0,140.0,90.0,0.0,80.0,20.0,1105.0,1030.0,8.4,20.0,60.0,100.0,140.0,70.0,30.0,165.0,150.0,155.0,155.0,130.0,100.0,120.0,25.0,40.0,25.0,70.0,95.0,120.0,175.0,295.0,100.0,105.0,140.0,235.0,18.5,220.0,60.0,40.0,30.0,25.0,20.0,10.0,10.0,35.0,5.0,0.0,975.0,77200.0,44200.0,103600.0,40.5,48000.0,62400.0,38800.0,51700.0,72800.0,38600.0,6850.0,8900.0,2.0,90400.0,50400.0,122400.0,100.0,100.0,280.0,915.0,815.0,78.0,3.5,72.3,0.278,0.39,0.306,145.0,165.0,135.0,165.0,185.0,140.0,135.0,150.0,1000.0,135.0,190.0,25.0,68500.0,38800.0,102000.0,39.6,43600.0,61600.0,29000.0,43600.0,71000.0,21600.0,6200.0,7400.0,77000.0,42000.0,115000.0,10.0,5.0,265.0,335.0,300.0,1255.0,1215.0,1255.0,1225.0,1080.0,1060.0,1065.0,1045.0,450.0,470.0,440.0,490.0,250.0,235.0,260.0,275.0,990.0,1020.0,1090.0,1110.0,1190.0,1140.0,1190.0,1140.0,1530.0,1255.0,1215.0,1255.0,1225.0,25.0,15.0,340.0,520.0,60.0,355.0,3.8,51.0,14.7,1375.0,1577.0,160.0,10.0,1530.0,165.0,1295.0,175.0,1575.0,1575.0,1080.0,375.0,1485.0,735.0,865.0,100.0,205.0,290.0,1295.0,1265.0,1265.0,1485.0,1575.0,1485.0,1265.0,920.0,770.0,770.0,770.0,230.0,0.0,1485.0,155.0,180.0,135.0,110.0,375.0,380.0,70.0,80.0,355.0,345.0,470.0,470.0,770.0,770.0,415.0,425.0,1290.0,1265.0,1290.0,1265.0,1485.0,1480.0,1530.0,1485.0,1575.0,0.0,1530.0,1000.0,1000.0,1000.0,1575.0,1080.0,915.0,865.0,1260.0,915.0,1340.0,1405.0,1575.0,1575.0,1080.0,740.0,765.0,375.0,1530.0,485.0,175.0,45.0,915.0,1265.0,1260.0,165.0,770.0,770.0,770.0,770.0,770.0,770.0,1480.0,1480.0,1265.0,915.0,385.0,865.0,1295.0,1480.0,375.0,120.0,245.0,45.0,10.0,90.0,9.0,1065.0,225.0
Destruction Bay,,,,,,,5.0,,,0.0,,,,0.0,0.0,0.0,,25.0,,,,0.0,0.0,,,,5.0,5.0,,,0.0,0.0,,,,,0.0,5.0,5.0,,,10.0,0.0,,10.0,,,5.0,0.0,,,5.0,0.0,0.0,,0.0,0.0,,,,,52.0,,,,,,,,,1.9,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,54.8,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,0.0,5.0,,0.0,5.0,,2.9,-27.3,55.0,40.0,,,,,,,40.0,40.0,,10.0,,,,100.0,0.0,5.0,,,,,40.0,,,,,,15.0,,,,,,,,,,,,,,10.0,,,,,,30.0,,30.0,,,,,,40.0,,,,,,40.0,,,,,,35.0,,40.0,40.0,,,,,30.0,10.0,,,,,,,,20.0,,,,,,,,,,,,,5.0,,,0.0,,,,,
Faro,,11.1,22.2,33.3,21.4,0.0,90.0,100.0,16.0,30.0,40.0,,20.0,30.0,0.0,15.0,10.0,265.0,250.0,11.0,15.0,15.0,20.0,15.0,20.0,10.0,25.0,40.0,35.0,35.0,25.0,15.0,30.0,0.0,10.0,15.0,25.0,20.0,30.0,55.0,35.0,55.0,35.0,45.0,90.0,24.0,50.0,25.0,15.0,15.0,10.0,5.0,5.0,5.0,25.0,0.0,0.0,200.0,77500.0,57000.0,92000.0,42.2,49600.0,79000.0,33500.0,54000.0,88000.0,34500.0,10000.0,8500.0,2.1,88000.0,65000.0,104000.0,100.0,100.0,95.0,180.0,180.0,70.0,1.4,51.4,0.279,0.438,0.309,55.0,45.0,45.0,55.0,55.0,30.0,35.0,40.0,200.0,55.0,25.0,10.0,73000.0,49200.0,81000.0,41.2,46800.0,68000.0,32400.0,46400.0,78500.0,26600.0,9300.0,5880.0,78500.0,54400.0,87000.0,0.0,0.0,150.0,70.0,70.0,340.0,340.0,345.0,345.0,250.0,250.0,240.0,240.0,95.0,95.0,95.0,100.0,35.0,40.0,35.0,30.0,295.0,295.0,305.0,305.0,290.0,295.0,285.0,290.0,435.0,335.0,340.0,345.0,345.0,10.0,0.0,110.0,135.0,15.0,85.0,4.0,2.2,26.4,348.0,440.0,15.0,0.0,440.0,30.0,350.0,45.0,440.0,440.0,230.0,120.0,440.0,140.0,175.0,100.0,65.0,95.0,350.0,345.0,345.0,440.0,440.0,440.0,350.0,225.0,210.0,210.0,210.0,75.0,0.0,440.0,55.0,55.0,40.0,40.0,115.0,120.0,20.0,20.0,85.0,85.0,105.0,105.0,210.0,210.0,125.0,130.0,345.0,350.0,345.0,350.0,440.0,435.0,435.0,440.0,440.0,0.0,440.0,200.0,200.0,200.0,440.0,230.0,230.0,175.0,350.0,230.0,355.0,410.0,440.0,440.0,230.0,210.0,210.0,135.0,435.0,110.0,45.0,0.0,180.0,350.0,350.0,30.0,210.0,210.0,210.0,210.0,210.0,210.0,435.0,435.0,345.0,225.0,75.0,175.0,350.0,435.0,120.0,25.0,75.0,10.0,0.0,25.0,12.5,240.0,110.0
Haines Junction,0.0,7.5,40.0,14.3,14.3,10.0,130.0,155.0,8.0,45.0,55.0,,65.0,40.0,0.0,40.0,10.0,440.0,410.0,6.4,20.0,25.0,35.0,40.0,25.0,10.0,55.0,40.0,60.0,105.0,55.0,40.0,50.0,10.0,10.0,15.0,45.0,40.0,40.0,75.0,60.0,70.0,45.0,55.0,120.0,9.0,75.0,40.0,25.0,20.0,10.0,5.0,0.0,5.0,0.0,0.0,0.0,360.0,86000.0,47000.0,106000.0,40.9,50600.0,77500.0,36400.0,50000.0,79000.0,29400.0,8400.0,8800.0,2.2,99000.0,53000.0,123000.0,100.0,100.0,155.0,315.0,325.0,72.0,2.5,56.8,0.254,0.364,0.275,50.0,85.0,60.0,60.0,80.0,50.0,80.0,60.0,365.0,80.0,80.0,0.0,78000.0,44400.0,102000.0,41.2,45600.0,77000.0,27200.0,42400.0,77500.0,21000.0,7900.0,7150.0,89000.0,48400.0,119000.0,0.0,0.0,185.0,120.0,120.0,540.0,540.0,550.0,550.0,455.0,455.0,440.0,440.0,180.0,195.0,180.0,195.0,95.0,90.0,90.0,90.0,430.0,430.0,460.0,465.0,505.0,505.0,510.0,510.0,685.0,540.0,535.0,550.0,550.0,0.0,10.0,180.0,180.0,30.0,105.0,3.4,20.1,12.2,613.0,688.0,35.0,10.0,685.0,40.0,555.0,60.0,690.0,695.0,430.0,195.0,685.0,240.0,285.0,100.0,105.0,160.0,555.0,550.0,550.0,685.0,695.0,685.0,555.0,375.0,310.0,310.0,310.0,85.0,45.0,685.0,90.0,90.0,65.0,70.0,190.0,195.0,30.0,30.0,105.0,105.0,135.0,135.0,310.0,310.0,200.0,205.0,550.0,555.0,550.0,555.0,680.0,685.0,680.0,685.0,695.0,0.0,685.0,365.0,365.0,365.0,695.0,430.0,375.0,285.0,555.0,375.0,560.0,640.0,695.0,690.0,430.0,260.0,265.0,200.0,680.0,145.0,60.0,10.0,315.0,555.0,555.0,40.0,310.0,310.0,310.0,310.0,310.0,310.0,685.0,685.0,550.0,375.0,70.0,285.0,555.0,685.0,195.0,25.0,125.0,10.0,10.0,50.0,13.7,445.0,115.0
